Date,ASIN,Orders,Units,Sales,Profits,ACOS,TACOS,Organic Units,Promotion Units,PPC Orders,PPC Units,PPC Sales,Sessions,Conversions,Average Price,ROI,Margin,Refund Units,Refund Balance,Referral Fees,Fulfillment Fees,Cost of Goods,PPC Cost,Promotion Value,VAT,Recoverable VAT on Fees
07-Mar-26,B0824GK8BP,21,21,581.49,258.5500,14.73 %,0.70 %,20,1,1,1,27.69,,,27.69,187.40 %,44.46 %,0,0,87.15,88.20,137.9700,4.08,5.54,,
07-Mar-26,B0CRZRHT7R,4,4,77.72,16.6800,,,4,0,0,0,0,,,19.43,57.05 %,21.46 %,0,0,11.64,20.16,29.2400,0,0.00,,
07-Mar-26,Sponsored Brands Product Collection/Brand Video,0,0,0,-15.78,,,0,0,2,2,55.38,,,,,0.00 %,0,0,0,0,,15.78,0,,
06-Mar-26,B0824GK8BP,9,10,276.90,125.3900,,0.83 %,10,0,0,0,0.00,,,27.69,190.85 %,45.28 %,0,0,41.50,42.00,65.7000,2.31,0.00,,
06-Mar-26,B0CRZRHT7R,4,4,77.72,12.7900,,,4,1,0,0,0,,,19.43,43.74 %,16.46 %,0,0,11.64,20.16,29.2400,0,3.89,,
06-Mar-26,Sponsored Brands Product Collection/Brand Video,0,0,0,-10.83,,,0,0,1,1,27.69,,,,,0.00 %,0,0,0,0,,10.83,0,,
05-Mar-26,B0824GK8BP,17,17,470.73,207.1700,7.91 %,0.93 %,15,1,2,2,55.38,39,43.59 %,27.69,185.49 %,44.01 %,0,0,70.55,71.40,111.6900,4.38,5.54,,
05-Mar-26,B0CRZRHT7R,3,3,58.29,10.6500,4.79 %,3.19 %,1,0,2,2,38.86,14,21.43 %,19.43,48.56 %,18.27 %,0,0,8.73,15.12,21.9300,1.86,0.00,,
05-Mar-26,B0D98N836B,0,0,0,0,,,0,0,0,0,0,2,0.00 %,,,0.00 %,0,0,0,0,,0,0,,
05-Mar-26,Sponsored Brands Product Collection/Brand Video,0,0,0,-17.79,,,0,0,1,1,19.43,,,,,0.00 %,0,0,0,0,,17.79,0,,
04-Mar-26,B0824GK8BP,15,16,440.27,153.2900,8.56 %,0.54 %,15,4,1,1,27.69,44,34.09 %,27.516875,145.82 %,34.82 %,1,24.14,65.99,67.20,105.1200,2.37,22.16,,
04-Mar-26,B0CRZRHT7R,2,2,38.86,7.6400,,1.80 %,2,0,0,0,0.00,15,13.33 %,19.43,52.26 %,19.66 %,0,0,5.82,10.08,14.6200,0.70,0.00,,
04-Mar-26,Sponsored Brands Product Collection/Brand Video,0,0,0,-17.91,,,0,0,4,4,102.50,,,,,0.00 %,0,0,0,0,,17.91,0,,
03-Mar-26,B0824GK8BP,12,12,332.28,132.1700,23.70 %,5.93 %,9,1,3,3,83.07,47,25.53 %,27.69,167.64 %,39.78 %,0,0,49.80,50.40,78.8400,19.69,1.38,,
03-Mar-26,B0CRZRHT7R,3,3,65.29,11.9500,,9.96 %,3,0,0,0,0.00,20,15.00 %,21.763333333333333333333333333,54.49 %,18.30 %,0,0,9.79,15.12,21.9300,6.50,0.00,,
03-Mar-26,Sponsored Brands Product Collection/Brand Video,0,0,0,-12.47,,,0,0,0,0,0.00,,,,,0.00 %,0,0,0,0,,12.47,0,,
02-Mar-26,B0824GK8BP,16,16,440.27,156.1500,15.14 %,4.76 %,11,1,5,5,138.45,53,30.19 %,27.516875,148.54 %,35.47 %,1,19.31,65.99,67.20,105.1200,20.96,5.54,,
02-Mar-26,B0CRZRHT7R,3,3,58.29,4.3900,20.90 %,13.93 %,1,0,2,2,38.86,17,17.65 %,19.43,20.02 %,7.53 %,0,0,8.73,15.12,21.9300,8.12,0.00,,
02-Mar-26,B0D98N836B,0,0,0,0,,,0,0,0,0,0,1,0.00 %,,,0.00 %,0,0,0,0,,0,0,,
02-Mar-26,Sponsored Brands Product Collection/Brand Video,0,0,0,-11.37,,,0,0,2,2,55.38,,,,,0.00 %,0,0,0,0,,11.37,0,,
01-Mar-26,B0824GK8BP,17,18,498.42,197.2500,32.59 %,5.43 %,15,1,3,3,83.07,60,28.33 %,27.69,166.79 %,39.58 %,0,0,74.70,75.60,118.2600,27.07,5.54,,
01-Mar-26,B0CRZRHT7R,4,5,97.15,14.9600,6.06 %,6.06 %,0,0,4,5,97.15,25,16.00 %,19.43,40.93 %,15.40 %,0,0,14.55,25.20,36.5500,5.89,0.00,,
