Date,Currency,Campaign Name,Attribution type,Purchased ASIN,"14 Day Total Sales ",14 Day Total Orders (#),14 Day Total Units (#),14 Day New-to-brand Sales,14 Day New-to-brand Orders (#),14 Day New-to-brand Units (#),14 Day % of Sales New-to-brand,14 Day % of Orders New-to-brand,14 Day % of Units New-to-brand,Cost type,14 Day Total Sales - (Click),14 Day Total Orders (#) - (Click),14 Day Total Units (#) - (Click)
"Feb 2, 2026",USD,Brain Tea SB Bulk_banana leaf tea_$0.73_01021160,Promoted,B0824GK8BP,$83.07,3,3,$27.69,1,1,33.30%,33.30%,33.30%,CPC,$83.07,3,3
"Feb 2, 2026",USD,Brain Tea SB Bulk_tea_$0.73_01021160,Promoted,B0824GK8BP,$27.69,1,1,$27.69,1,1,100.00%,100.00%,100.00%,CPC,$27.69,1,1
"Feb 3, 2026",USD,Brain Tea SB Bulk_mct tea_$0.66_01021160,Promoted,B0824GK8BP,$27.69,1,1,$27.69,1,1,100.00%,100.00%,100.00%,CPC,$27.69,1,1
"Feb 5, 2026",USD,BTFM - B0824GK8BP - K5-JSC0-HUPB - SBV PT - Replication SKC - B0CV61W2TQ - 20251025 - MV,Promoted,B0824GK8BP,$55.38,2,2,$55.38,2,2,100.00%,100.00%,100.00%,CPC,$55.38,2,2
"Feb 5, 2026",USD,Brain Tea SB Bulk_memory tea_$0.66_01021160,Promoted,B0824GK8BP,$27.69,1,1,$0.0,0,0,0.00%,0.00%,0.00%,CPC,$27.69,1,1
"Feb 5, 2026",USD,Brain Tea SB Bulk_yerba mate tea bag_$0.66_01021160,Promoted,B0824GK8BP,$27.69,1,1,$27.69,1,1,100.00%,100.00%,100.00%,CPC,$27.69,1,1
"Feb 7, 2026",USD,Brain Tea SB Bulk_brain tea_$0.66_01021160,Promoted,B0824GK8BP,$27.69,1,1,$27.69,1,1,100.00%,100.00%,100.00%,CPC,$27.69,1,1
"Feb 7, 2026",USD,Brain Tea SB Bulk_focus tea_$0.66_01021160,Promoted,B0824GK8BP,$27.69,1,1,$27.69,1,1,100.00%,100.00%,100.00%,CPC,$27.69,1,1
"Feb 8, 2026",USD,Brain Tea SB Bulk_brain tea_$0.66_01021160,Promoted,B0824GK8BP,$27.69,1,1,$27.69,1,1,100.00%,100.00%,100.00%,CPC,$27.69,1,1
"Feb 9, 2026",USD,Brain Tea SB Bulk_brain tea_$0.66_01021160,Promoted,B0CRZRHT7R,$22.93,1,1,$22.93,1,1,100.00%,100.00%,100.00%,CPC,$22.93,1,1
"Feb 11, 2026",USD,Brain Tea SB Bulk_ginseng and ginkgo tea_$0.66_01021160,Promoted,B0824GK8BP,$27.69,1,1,$27.69,1,1,100.00%,100.00%,100.00%,CPC,$27.69,1,1
"Feb 11, 2026",USD,Brain Tea SB Bulk_brain tea blend_$0.73_01021160,Promoted,B0824GK8BP,$27.69,1,1,$27.69,1,1,100.00%,100.00%,100.00%,CPC,$27.69,1,1
"Feb 11, 2026",USD,BTFM - B0824GK8BP - K5-JSC0-HUPB - SBV PT - Replication SKC - B0CV61W2TQ - 20251025 - MV,Promoted,B0824GK8BP,$27.69,1,1,$0.0,0,0,0.00%,0.00%,0.00%,CPC,$27.69,1,1
"Feb 12, 2026",USD,Brain Tea SB New_lions mane cognitive tea_$0.77_01021170,Promoted,B0824GK8BP,$27.69,1,1,$27.69,1,1,100.00%,100.00%,100.00%,CPC,$27.69,1,1
"Feb 13, 2026",USD,Brain Tea SB Bulk_herbal tea for memory support_$0.73_01021160,Promoted,B0824GK8BP,$27.69,1,1,$27.69,1,1,100.00%,100.00%,100.00%,CPC,$27.69,1,1
"Feb 14, 2026",USD,Brain Tea SB New_anti brain fog tea_$0.77_01021170,Promoted,B0824GK8BP,$27.69,1,1,$27.69,1,1,100.00%,100.00%,100.00%,CPC,$27.69,1,1
