Parent ASIN,ASIN,SKU,Title,Short Name,Selling Price,Production Cost,Freight Cost,Fulfillment Fee,Expected Fulfillment Fee,Referral Percent,Active,Payout,Profit,ROI,Margin,Recoverable VAT on Fees,Break Even Price,Stock In Production,Stock Inbound,Inbound to 3PL,Inbound to AWD,3PL to FBA,AWD to FBA,Stock In 3PL,Stock In Inventory,Stock In Transfer,Stock in AWD,Production LeadTime,Freight LeadTime,Package Length (Inch),Package Width (Inch),Package Height (Inch),Package Weight (LB),Carton Length (Inch),Carton Width (Inch),Carton Height (Inch),Carton Weight (LB),Units Per Carton
B0DYHLCY51,B09WYNL91P,DK-FBA-O3FO-60c,"DAIKEN rTG Omega 3 1000mg, High Absorption & Burpless Fish Oil 1200 mg, Mini Fish Oil Softgels for Healthy Heart, Brain and Dry Eyes Support, 60 Small Softgels",,,,,,,,False,,,,,,,0,0,0,0,0,,0,0,,,,,2.400,2.480,4.690,0.2403,,,,,
B09Y8VBQTV,B09Y8VBQTV,FBA-MCP-22PK,"DAIKEN Peruvian Maca Root Powder Extra Strength 15,000 mg, Gelatinized Black, Red, Yellow Maca Blend with L-Arginine (2,500 mg) for Men and Women, Superior Absorption, Vegan, Lab Tested - 22 Packets",,23.3900,,,4.2000,,0.15,True,15.6800,15.6800,0.00 %,67.04 %,0,4.94,0,0,0,0,0,,0,303,85,,,,3.500,4.800,5.040,0.5094,,,,,
B0FKBLZB11,B09Y92RP3R,FBA-LT-30c,"DAIKEN Lutein 10 mg Zeaxanthin 2 mg from FloraGLO Marigold Extract with Astaxanthin, Maqui Berry, Bilberry, Flaxseed Oil & Vitamin E, Supports Dry Eye, 30 Softgels",,39.9900,,,3.7300,,0.15,False,30.2600,30.2600,0.00 %,75.67 %,0,4.39,0,0,0,0,0,,0,0,,,,,1.460,3.460,5.240,0.0904,,,,,
B0DY7H26GN,B09Y932JVT,FBA-VC-60c,"DAIKEN 27 Full Spectrum Mini Multivitamin with Lutein, Lycopene & Folic Acid, Time Released Multivitamin for Women & Men, Vegan & Easy to Swallow, 60 Mini Vitamins Tablets",,,,,,,,False,,,,,,,0,0,0,0,0,,0,0,,,,,1.850,1.850,4.370,0.2403,,,,,
B0DYHLCY51,B0BRMWRKXV,DK-O3FO-Ad-60c-2pcs,"DAIKEN rTG Omega 3 1000mg, High Absorption & Burpless Fish Oil 1200 mg, Mini Fish Oil Softgels for Healthy Heart, Brain and Dry Eyes Support, 60 Small Softgels (Pack of 2)",,,,,,,,False,,,,,,,0,0,0,0,0,,0,0,,,,,2.440,4.840,4.960,0.4895,,,,,
B0DY7H26GN,B0BRMYXZTC,DK-VC-60c-2pks,"DAIKEN Lutein Multivitamin with Lycopene for Women & Men, Time Released, 27 Full Spectrum Vegan Multivitamin, Mini & Easy to Swallow, 60 Tablets (Pack of 2)",,,,,,,,False,,,,,,,0,0,0,0,0,,0,0,,,,,1.850,3.900,4.410,0.0706,,,,,
B0FKBLZB11,B0C23JH5D1,FBA-LT-60c,"DAIKEN Lutein 10 mg Zeaxanthin 2 mg from FloraGLO Marigold Extract with Astaxanthin, Maqui Berry, Bilberry, Flaxseed Oil & Vitamin E, Supports Dry Eye, 30 Softgels (Pack of 2)",,40.9400,,,3.9500,,0.15,False,30.8500,30.8500,0.00 %,75.35 %,0,4.65,0,0,0,0,0,,0,0,,,,,1.460,5.280,6.970,0.2007,,,,,
B0CDPP7CTX,B0CDPP7CTX,FBA-MCP-44PK,,,,,,,,,False,,,,,,,0,0,0,0,0,,0,0,,,,,,,,,,,,,
B0CM333NG9,B0CM333NG9,K1-JXJR-0TEK,"DAIKEN Bitter Melon, Cinnamon & Chromium, 90,000 mg Bitter Melon Equivalent Per Serving Extra Strength, 100% Vegetarian Bitter Melon Capsules with Cinnamon Chromium & Zinc, 60 Capsules",,,,,,,,False,,,,,,,0,0,0,0,0,,0,,,,,,,,,,,,,,
B0FF4WBTWX,B0CM3LGDT9,DK-BITTER MELON-2,"DAIKEN Bitter Melon 90,000 mg Equivalent, Enriched with Cinnamon, Chromium & Zinc, 100% Vegetarian Bitter Melon Capsules, 60 Capsules (Pack of 2)",,52.2400,,,4.2100,,0.15,False,40.1900,40.1900,0.00 %,76.93 %,0,4.95,0,0,0,0,0,,0,0,,,,,2.480,5.039,5.079,0.4234,,,,,
B0CP4Q9VPP,B0CP4Q9VPP,LUTEIN-6,,,,,,,,,False,,,,,,,0,0,0,0,0,,0,,,,,,,,,,,,,,
B0CPSQYJK4,B0CPSQYJK4,NEW BITTER MELON,"DAIKEN Bitter Melon, Cinnamon & Chromium, 60 Capsules",,,,,,,,False,,,,,,,0,0,0,0,0,,0,,,,,,,,,,,,,,
B0FF4WBTWX,B0CPSRQRNB,BITTER MELON-1,"DAIKEN Bitter Melon 90,000 mg Equivalent, Enriched with Cinnamon, Chromium & Zinc, 100% Vegetarian Bitter Melon Capsules, 60 Capsules",,29.9900,,,3.7300,,0.15,False,21.7600,21.7600,0.00 %,72.56 %,0,4.39,0,0,0,0,0,,0,0,,,,,2.320,2.400,4.760,0.1808,,,,,
B0CVT95T3M,B0CVT95T3M,LUTEIN,"DAIKEN Lutein & Zeaxanthin, 30 Softgels",,,,,,,,False,,,,,,,0,0,0,0,0,,0,,,,,,,,,,,,,,
B0DYHLCY51,B0DTT8T7X1,NEW FISH OIL-2,"DAIKEN Mini Fish Oil 1200 mg, rTG Omega 3 1000mg, 60 Softgels, High Absorption & Burpless Fish Oil for Healthy Heart, Brain and Dry Eyes Support (Pack of 2)",,48.9900,,,3.9500,,0.15,True,37.6900,37.6900,0.00 %,76.93 %,0,4.65,0,0,0,0,0,,0,37,,,,,2.240,4.610,5.160,0.3506,,,,,
B0DYHLCY51,B0DTTHJCRL,NEW FISH OIL-1,"DAIKEN Mini Fish Oil 1200 mg, rTG Omega 3 1000mg, 60 Softgels, High Absorption & Burpless Fish Oil for Healthy Heart, Brain and Dry Eyes Support",,26.9900,,,3.7300,,0.15,True,19.2100,19.2100,0.00 %,71.17 %,0,4.39,0,0,0,0,0,,0,41,12,,,,2.050,2.170,3.900,0.1808,,,,,
