Date,Currency,Campaign Name,Attribution type,Purchased ASIN,"14 Day Total Sales ",14 Day Total Orders (#),14 Day Total Units (#),14 Day New-to-brand Sales,14 Day New-to-brand Orders (#),14 Day New-to-brand Units (#),14 Day % of Sales New-to-brand,14 Day % of Orders New-to-brand,14 Day % of Units New-to-brand,Cost type,14 Day Total Sales - (Click),14 Day Total Orders (#) - (Click),14 Day Total Units (#) - (Click)
"Feb 1, 2026",USD,SB_Kids Fish Oil Gummies_kids fish oil brain development_B0G7K4CHWG_133_ERIC,Promoted,B0G7K4CHWG,$14.99,1,1,$14.99,1,1,100.00%,100.00%,100.00%,CPC,$14.99,1,1
"Feb 1, 2026",USD,SB_BROAD_nattokinase 120 capsules_111325,Promoted,B0DTYCNVQV,$27.99,1,1,$27.99,1,1,100.00%,100.00%,100.00%,CPC,$27.99,1,1
"Feb 1, 2026",USD,SB_BROAD_enhanced absorption nattokinase formula_110725,Promoted,B0DTYLYN6B,$53.19,1,1,$53.19,1,1,100.00%,100.00%,100.00%,CPC,$53.19,1,1
"Feb 1, 2026",USD,SB_Kids Fish Oil Gummies_toddler omega 3 brain development_B0G7K4CHWG_199_ERIC,Promoted,B0G7K4CHWG,$14.99,1,1,$14.99,1,1,100.00%,100.00%,100.00%,CPC,$14.99,1,1
"Feb 1, 2026",USD,SB_BROAD_aged natto extract_111025,Promoted,B0DTYCNVQV,$27.99,1,1,$27.99,1,1,100.00%,100.00%,100.00%,CPC,$27.99,1,1
"Feb 1, 2026",USD,SB_Kids Fish Oil Gummies_toddler fish oil chewable_B0G7K4CHWG_177_ERIC,Promoted,B0G7K1VC4G,$28.99,1,1,$28.99,1,1,100.00%,100.00%,100.00%,CPC,$28.99,1,1
"Feb 1, 2026",USD,SB_BROAD_natto enzyme complex_110525_1,Promoted,B0DTYLYN6B,$53.19,1,1,$53.19,1,1,100.00%,100.00%,100.00%,CPC,$53.19,1,1
"Feb 1, 2026",USD,Bitter Melon - SBV - B0CPSQYJK4 - SPM - BX,Promoted,B0DV3VX26C,$27.49,1,1,$27.49,1,1,100.00%,100.00%,100.00%,CPC,$27.49,1,1
"Feb 2, 2026",USD,Maca Powder - SBV - B09Y8VBQTV - Manual - BX,Promoted,B09Y8VBQTV,$23.39,1,1,$23.39,1,1,100.00%,100.00%,100.00%,CPC,$23.39,1,1
"Feb 2, 2026",USD,SB_Kids Fish Oil Gummies_childrens fish oil_B0G7K4CHWG_122_ERIC,Promoted,B0DTTHJCRL,$26.99,1,1,$26.99,1,1,100.00%,100.00%,100.00%,CPC,$26.99,1,1
