Date,ASIN,Orders,Units,Sales,Profits,ACOS,TACOS,Organic Units,Promotion Units,PPC Orders,PPC Units,PPC Sales,Sessions,Conversions,Average Price,ROI,Margin,Refund Units,Refund Balance,Referral Fees,Fulfillment Fees,Cost of Goods,PPC Cost,Promotion Value,VAT,Recoverable VAT on Fees
07-Mar-26,B09T36PXKX,1,1,40.00,26.48,,1.45 %,1,0,0,0,0.00,,,40.00,,66.20 %,0,0,5.60,7.34,,0.58,0.00,,
07-Mar-26,B0CNRJXBYP,1,1,84.50,61.75,6.24 %,6.24 %,0,0,1,1,84.50,,,84.50,,73.08 %,0,0,10.14,7.34,,5.27,0.00,,
07-Mar-26,B0FD3PMPVC,5,5,84.95,50.30,,,5,0,0,0,0,,,16.99,,59.21 %,0,0,11.90,22.75,,0,0.00,,
07-Mar-26,B01KHB8DKA,0,0,0,-4.45,,,0,0,0,0,0.00,,,,,0.00 %,0,0,0,0,,4.45,0,,
07-Mar-26,B01KHB8E4A,0,0,0,-0.17,,,0,0,0,0,0.00,,,,,0.00 %,0,0,0,0,,0.17,0,,
07-Mar-26,B01LWX7WBR,0,0,0,-1.43,,,0,0,0,0,0.00,,,,,0.00 %,0,0,0,0,,1.43,0,,
07-Mar-26,B01N3OVRWE,0,0,0,-14.42,,,0,0,0,0,0.00,,,,,0.00 %,0,0,0,0,,14.42,0,,
07-Mar-26,B06XCRF7RF,0,0,0,-5.77,,,0,0,0,0,0.00,,,,,0.00 %,0,0,0,0,,5.77,0,,
07-Mar-26,B06XS9FDG6,0,0,0,-3.36,,,0,0,0,0,0.00,,,,,0.00 %,0,0,0,0,,3.36,0,,
07-Mar-26,B074496RQ5,0,0,0,-1.32,,,0,0,0,0,0.00,,,,,0.00 %,0,0,0,0,,1.32,0,,
07-Mar-26,B07NZM7X6F,0,0,0,-11.50,,,0,0,0,0,0.00,,,,,0.00 %,0,0,0,0,,11.50,0,,
07-Mar-26,B0C3GC6N5W,0,0,0,-2.51,,,0,0,0,0,0.00,,,,,0.00 %,0,0,0,0,,2.51,0,,
07-Mar-26,B0C3GNK3VF,0,0,0,-1.67,2.59 %,,0,0,1,1,64.50,,,,,0.00 %,0,0,0,0,,1.67,0,,
07-Mar-26,B0CNRJDM2J,0,0,0,-1.40,,,0,0,0,0,0.00,,,,,0.00 %,0,0,0,0,,1.40,0,,
07-Mar-26,B0FCRLQG4B,0,0,0,-0.86,,,0,0,0,0,0.00,,,,,0.00 %,0,0,0,0,,0.86,0,,
07-Mar-26,Sponsored Brands Product Collection/Brand Video,0,0,0,-49.95,,,0,0,3,3,50.97,,,,,0.00 %,0,0,0,0,,49.95,0,,
06-Mar-26,B01KHB8E4A,1,1,51.60,36.50,,2.03 %,1,0,0,0,0.00,9,11.11 %,51.60,,70.74 %,0,0,6.71,7.34,,1.05,0.00,,
06-Mar-26,B07NZM7X6F,1,1,51.60,29.86,6.62 %,14.90 %,0,0,2,2,116.10,10,10.00 %,51.60,,57.87 %,0,0,6.71,7.34,,7.69,0.00,,
06-Mar-26,B0C3GNK3VF,2,2,116.10,85.47,,0.73 %,2,0,0,0,0.00,6,33.33 %,58.05,,73.62 %,0,0,15.10,14.68,,0.85,0.00,,
06-Mar-26,B0FCRLQG4B,1,1,11.99,6.33,,2.84 %,1,0,0,0,0.00,7,14.29 %,11.99,,52.79 %,0,0,1.68,3.64,,0.34,0.00,,
06-Mar-26,B0FCRQRHJ8,1,1,11.99,6.67,,,1,0,0,0,0,3,33.33 %,11.99,,55.63 %,0,0,1.68,3.64,,0,0.00,,
06-Mar-26,B0FD3PMPVC,4,4,67.96,39.34,,1.32 %,4,0,0,0,0.00,9,44.44 %,16.99,,57.89 %,0,0,9.52,18.20,,0.90,0.00,,
06-Mar-26,B01KHB8DKA,0,0,0,-7.39,,,0,0,0,0,0.00,9,0.00 %,,,0.00 %,0,0,0,0,,7.39,0,,
