Parent ASIN,ASIN,SKU,Title,Short Name,Selling Price,Production Cost,Freight Cost,Fulfillment Fee,Expected Fulfillment Fee,Referral Percent,Active,Payout,Profit,ROI,Margin,Recoverable VAT on Fees,Break Even Price,Stock In Production,Stock Inbound,Inbound to 3PL,Inbound to AWD,3PL to FBA,AWD to FBA,Stock In 3PL,Stock In Inventory,Stock In Transfer,Stock in AWD,Production LeadTime,Freight LeadTime,Package Length (Inch),Package Width (Inch),Package Height (Inch),Package Weight (LB),Carton Length (Inch),Carton Width (Inch),Carton Height (Inch),Carton Weight (LB),Units Per Carton
B086WS945N,B01KHB8DKA,CA155 - GLOSRGRY,"Flux AVENTO Polarized Sports Sunglasses UV400 Protection with Anti-Slip Function and Lightweight Frame - for Men and Women when Driving, Running, Baseball, Golf, Casual Sport (Red)",,64.5000,,,7.3400,,0.13,True,48.7700,48.7700,0.00 %,75.61 %,0,8.44,0,0,0,0,0,,0,48,,,,,2.441,2.992,6.890,0.2646,,,,,
B086WS945N,B01KHB8E4A,CA155 - GLOSBLGRY,"Flux AVENTO Polarized Sports Sunglasses UV400 Protection with Anti-Slip Function and Lightweight Frame - for Men and Women when Driving, Running, Baseball, Golf, Casual Sports and (Blue)",,64.5000,,,7.3400,,0.13,True,48.7700,48.7700,0.00 %,75.61 %,0,8.44,0,0,0,0,0,,0,51,,,,,2.520,3.031,6.890,0.2867,,,,,
B07CGC3V3F,B01LWX7WBR,CA3644 - GLOSBGRY,Flux Sportech Unisex Polarized No Slip Outdoor Sports Sunglasses with 100% UV Protection - S.BLK/Grey,,64.5000,,,7.3400,,0.13,True,48.7700,48.7700,0.00 %,75.61 %,0,8.44,0,0,0,0,0,,0,40,,,,,2.441,2.992,6.969,0.2646,,,,,
B07CG6VHJG,B01MFI3MCW,CA70862 - CRYSGRD,Flux Unisex Polarized No Slip Outdoor Sports Sunglasses with 100% UV Protection (Crystal Grey/Red),,49.4900,,,7.3400,,0.14,True,35.2200,35.2200,0.00 %,71.17 %,0,8.53,0,0,0,0,0,,0,26,,,,,2.520,2.913,6.890,0.2646,,,,,
B086WS945N,B01N3OVRWE,CA155 - GLOSBBGRY,"Flux AVENTO Polarized Sports Sunglasses UV400 Protection with Anti-Slip Function and Lightweight Frame - for Men and Women when Driving, Running, Baseball, Golf, Casual Sports (BLK)",,64.5000,,,7.3400,,0.13,True,48.7700,48.7700,0.00 %,75.61 %,0,8.44,0,0,0,0,0,,0,41,1,,,,2.441,2.953,7.008,0.2646,,,,,
B07CG6VHJG,B06XCK6N3C,CA70862 - CRYSGGRY,"Flux Verano Polarized Sports Sunglasses with Anti-Slip Function Adjustable Nose Pad and Lightweight Frame - for Men and Women when Driving, Running, Baseball, Golf, Casual Sports (Crystal Grey/Grey)",,,,,,,,False,,,,,,,0,0,0,0,0,,0,0,,,,,2.520,2.953,6.890,0.2867,,,,,
B07CG6VHJG,B06XCRF7RF,CA70862 - MATBGRY,Flux Unisex Polarized No Slip Outdoor Sports Sunglasses with 100% UV Protection (BLK/Grey),,49.4900,,,7.3400,,0.14,True,35.2200,35.2200,0.00 %,71.17 %,0,8.53,0,0,0,0,0,,0,30,,,,,2.441,2.992,7.008,0.2646,,,,,
B07CGC3V3F,B06XS3D5RG,CA3644 - GLOSBBLU,Flux Sportech Unisex Polarized No Slip Outdoor Sports Sunglasses with 100% UV Protection - S.BLK/Blue,,64.5000,,,7.3400,,0.13,True,48.7700,48.7700,0.00 %,75.61 %,0,8.44,0,0,0,0,0,,0,35,,,,,2.598,2.992,6.890,0.2426,,,,,
B07CGC3V3F,B06XS9FDG6,CA3644 - MATBBGRY,Flux Sportech Unisex Polarized No Slip Outdoor Sports Sunglasses with 100% UV Protection - Mat.BLK/Grey,,64.5000,,,7.3400,,0.13,True,48.7700,48.7700,0.00 %,75.61 %,0,8.44,0,0,0,0,0,,0,11,,,,,2.520,2.953,7.008,0.2646,,,,,
B07CGC3V3F,B06XSB9W9D,CA3644 - GLOSBRED,Flux Sportech Unisex Polarized No Slip Outdoor Sports Sunglasses with 100% UV Protection - S.BLK/Red,,,,,,,,False,,,,,,,0,0,0,0,0,,0,0,,,,,2.520,2.953,7.008,0.2646,,,,,
B07CG6VHJG,B0734KS4HV,CA70862 - MATBRD,Flux Verano Unisex Polarized No Slip Outdoor Sports Sunglasses with 100% UV Protection (BLK/Red),,49.4900,,,7.3400,,0.14,False,35.2200,35.2200,0.00 %,71.17 %,0,8.53,0,0,0,0,0,,0,0,,,,,2.520,3.031,6.890,0.2646,,,,,
