Date,Currency,Campaign Name,Attribution type,Purchased ASIN,"14 Day Total Sales ",14 Day Total Orders (#),14 Day Total Units (#),14 Day New-to-brand Sales,14 Day New-to-brand Orders (#),14 Day New-to-brand Units (#),14 Day % of Sales New-to-brand,14 Day % of Orders New-to-brand,14 Day % of Units New-to-brand,Cost type,14 Day Total Sales - (Click),14 Day Total Orders (#) - (Click),14 Day Total Units (#) - (Click)
"Feb 1, 2026",AUD,SB_smoke lens sunglasses_$1.44_01021010,Promoted,B0F1D4F97T,$39.5,1,1,$39.5,1,1,100.00%,100.00%,100.00%,CPC,$39.5,1,1
"Feb 1, 2026",AUD,SB_BROAD_secure glasses holder_112625,Promoted,B0FCRLQG4B,$11.99,1,1,$11.99,1,1,100.00%,100.00%,100.00%,CPC,$11.99,1,1
"Feb 1, 2026",AUD,SB_river sunglasses strap_$0.88_01020940,Promoted,B0FD3LHYMN,$16.99,1,1,$16.99,1,1,100.00%,100.00%,100.00%,CPC,$16.99,1,1
"Feb 1, 2026",AUD,SB_nylon sunglasses strap_$0.88_01020940,Promoted,B0FD3PMPVC,$16.99,1,1,$16.99,1,1,100.00%,100.00%,100.00%,CPC,$16.99,1,1
"Feb 1, 2026",AUD,SB_BROAD_safety glasses polarised_111825,Promoted,B01N3OVRWE,$64.5,1,1,$64.5,1,1,100.00%,100.00%,100.00%,CPC,$64.5,1,1
"Feb 1, 2026",AUD,SB_BROAD_eyewear retainer_120425,Promoted,B0FD3PMPVC,$16.99,1,1,$16.99,1,1,100.00%,100.00%,100.00%,CPC,$16.99,1,1
"Feb 1, 2026",AUD,SB_BROAD_eyeglass frames_1201_0940,Promoted,B0FD3PMPVC,$15.45,1,1,$15.45,1,1,100.00%,100.00%,100.00%,CPC,$15.45,1,1
"Feb 2, 2026",AUD,SB_BROAD_eyeglass frames_1201_0940,Promoted,B0FD3MZ97V,$16.99,1,1,$16.99,1,1,100.00%,100.00%,100.00%,CPC,$16.99,1,1
"Feb 2, 2026",AUD,SB_blue sunglasses strap_$0.88_01020940,Promoted,B0FCRLQG4B,$11.99,1,1,$11.99,1,1,100.00%,100.00%,100.00%,CPC,$11.99,1,1
"Feb 2, 2026",AUD,SB_BROAD_glasses ear grips_1201_0940,Promoted,B0FCRLQG4B,$11.99,1,1,$11.99,1,1,100.00%,100.00%,100.00%,CPC,$11.99,1,1
"Feb 3, 2026",AUD,SB_blue sunglasses strap_$0.88_01020940,Promoted,B0FCRLQG4B,$23.98,1,2,$23.98,1,2,100.00%,100.00%,100.00%,CPC,$23.98,1,2
"Feb 3, 2026",AUD,SB_BROAD_eyewear retainer_120425,Promoted,B0FD3PMPVC,$33.98,1,2,$33.98,1,2,100.00%,100.00%,100.00%,CPC,$33.98,1,2
"Feb 3, 2026",AUD,SB-AU-80DAYS SUNGLASSES 150_Clubmaster sunglasses_$1.88_01021115,Promoted,B0F1D2B3FG,$200.0,1,5,$200.0,1,5,100.00%,100.00%,100.00%,CPC,$200.0,1,5
"Feb 3, 2026",AUD,SB_blue sunglasses strap_$0.88_01020940,Promoted,B0FD3PSJG3,$16.99,1,1,$16.99,1,1,100.00%,100.00%,100.00%,CPC,$16.99,1,1
"Feb 4, 2026",AUD,SB_BROAD_flat sunglasses holder_112625,Promoted,B0FD3PMPVC,$16.99,1,1,$16.99,1,1,100.00%,100.00%,100.00%,CPC,$16.99,1,1
"Feb 4, 2026",AUD,SB_BROAD_plastic glasses_1201_0940,Promoted,B0FCRLQG4B,$11.99,1,1,$11.99,1,1,100.00%,100.00%,100.00%,CPC,$11.99,1,1
"Feb 4, 2026",AUD,SB_BROAD_safety glasses polarised_111825,Promoted,B0C3GNK3VF,$64.5,1,1,$64.5,1,1,100.00%,100.00%,100.00%,CPC,$64.5,1,1
"Feb 4, 2026",AUD,SB_BROAD_sunglasses holder_1201251,Promoted,B0FD3PMPVC,$16.99,1,1,$16.99,1,1,100.00%,100.00%,100.00%,CPC,$16.99,1,1
"Feb 5, 2026",AUD,SB_BROAD_sunglasses lanyard_112125,Promoted,B0FCRLQG4B,$11.99,1,1,$11.99,1,1,100.00%,100.00%,100.00%,CPC,$11.99,1,1
"Feb 5, 2026",AUD,SB_BROAD_wayfarer sunglasses_1201_0946,Promoted,B09T36PXKX,$49.49,1,1,$49.49,1,1,100.00%,100.00%,100.00%,CPC,$49.49,1,1
"Feb 5, 2026",AUD,SB_BROAD_womens sport shades_1126251,Promoted,B01N3OVRWE,$64.5,1,1,$64.5,1,1,100.00%,100.00%,100.00%,CPC,$64.5,1,1
"Feb 5, 2026",AUD,SB_blue sunglasses strap_$0.88_01020940,Promoted,B0FCRLQG4B,$11.99,1,1,$11.99,1,1,100.00%,100.00%,100.00%,CPC,$11.99,1,1
"Feb 6, 2026",AUD,SB_BROAD_sunglasses holder_1201251,Promoted,B0FD3PMPVC,$16.99,1,1,$16.99,1,1,100.00%,100.00%,100.00%,CPC,$16.99,1,1
"Feb 6, 2026",AUD,SB_BROAD_sunglasses lanyard_112125,Promoted,B0FD3PMPVC,$33.98,2,2,$33.98,2,2,100.00%,100.00%,100.00%,CPC,$33.98,2,2
"Feb 6, 2026",AUD,SB_BROAD_plastic glasses_1201_0940,Promoted,B0FD3LHYMN,$16.99,1,1,$16.99,1,1,100.00%,100.00%,100.00%,CPC,$16.99,1,1
"Feb 6, 2026",AUD,SB_BROAD_secure glasses holder_112625,Promoted,B0FD3PMPVC,$16.99,1,1,$16.99,1,1,100.00%,100.00%,100.00%,CPC,$16.99,1,1
"Feb 7, 2026",AUD,SB_BROAD_sunglasses lanyard_112125,Promoted,B0FCRLQG4B,$11.99,1,1,$11.99,1,1,100.00%,100.00%,100.00%,CPC,$11.99,1,1
"Feb 7, 2026",AUD,SB_BROAD_safety glasses_1201_0940,Promoted,B0FD3PMPVC,$16.99,1,1,$16.99,1,1,100.00%,100.00%,100.00%,CPC,$16.99,1,1
"Feb 7, 2026",AUD,SB_BROAD_plastic glasses_1201_0940,Promoted,B0FD3PMPVC,$16.99,1,1,$16.99,1,1,100.00%,100.00%,100.00%,CPC,$16.99,1,1
"Feb 7, 2026",AUD,SB_BROAD_plastic glasses_1201_0940,Promoted,B0FCRLQG4B,$11.99,1,1,$11.99,1,1,100.00%,100.00%,100.00%,CPC,$11.99,1,1
"Feb 8, 2026",AUD,SB_BROAD_plastic glasses_1201_0940,Promoted,B0FD3LHYMN,$16.99,1,1,$16.99,1,1,100.00%,100.00%,100.00%,CPC,$16.99,1,1
"Feb 9, 2026",AUD,SB_BROAD_glasses lanyard_120425,Promoted,B0FCRLQG4B,$11.99,1,1,$11.99,1,1,100.00%,100.00%,100.00%,CPC,$11.99,1,1
"Feb 9, 2026",AUD,SB_BROAD_sunglasses holder_1201251,Promoted,B0FD3LHYMN,$16.99,1,1,$16.99,1,1,100.00%,100.00%,100.00%,CPC,$16.99,1,1
"Feb 10, 2026",AUD,SB_blue sunglasses strap_$0.88_01020940,Promoted,B0FCRQRHJ8,$11.99,1,1,$11.99,1,1,100.00%,100.00%,100.00%,CPC,$11.99,1,1
