Date,ASIN,Orders,Units,Sales,Profits,ACOS,TACOS,Organic Units,Promotion Units,PPC Orders,PPC Units,PPC Sales,Sessions,Conversions,Average Price,ROI,Margin,Refund Units,Refund Balance,Referral Fees,Fulfillment Fees,Cost of Goods,PPC Cost,Promotion Value,VAT,Recoverable VAT on Fees
07-Mar-26,B0F1D1CFHP,1,1,34.50,23.59,,4.43 %,1,0,0,0,0.00,,,34.50,,68.38 %,0,0,5.87,3.51,,1.53,0.00,,
07-Mar-26,B01N3OVRWE,0,0,0,-2.64,,,0,0,0,0,0.00,,,,,0.00 %,0,0,0,0,,2.64,0,,
07-Mar-26,B07VSGYS1G,0,0,0,-3.96,,,0,0,0,0,0.00,,,,,0.00 %,0,0,0,0,,3.96,0,,
07-Mar-26,B0F1D4F97T,0,0,0,-0.71,,,0,0,0,0,0.00,,,,,0.00 %,0,0,0,0,,0.71,0,,
07-Mar-26,B0FQBWKCCK,0,0,0,-3.76,,,0,0,0,0,0.00,,,,,0.00 %,0,0,0,0,,3.76,0,,
07-Mar-26,Sponsored Brands Product Collection/Brand Video,0,0,0,-28.92,,,0,0,4,4,55.00,,,,,0.00 %,0,0,0,0,,28.92,0,,
06-Mar-26,B0FD3MZ97V,1,1,13.99,7.95,,,1,0,0,0,0,5,20.00 %,13.99,,56.83 %,0,0,2.38,3.66,,0,0.00,,
06-Mar-26,B0FD3PSJG3,2,2,27.98,15.90,,,2,0,0,0,0,7,28.57 %,13.99,,56.83 %,0,0,4.76,7.32,,0,0.00,,
06-Mar-26,B07VSGYS1G,0,0,0,-3.93,,,0,0,0,0,0.00,8,0.00 %,,,0.00 %,0,0,0,0,,3.93,0,,
06-Mar-26,B0F1D1CFHP,0,0,0,-0.26,,,0,0,0,0,0.00,2,0.00 %,,,0.00 %,0,0,0,0,,0.26,0,,
06-Mar-26,B0F1D2HHD4,0,0,0,-0.79,,,0,0,0,0,0.00,1,0.00 %,,,0.00 %,0,0,0,0,,0.79,0,,
06-Mar-26,B0F1D4F97T,0,0,0,-0.82,,,0,0,0,0,0.00,1,0.00 %,,,0.00 %,0,0,0,0,,0.82,0,,
06-Mar-26,B0FCRLQG4B,0,0,0,-1.95,,,0,0,0,0,0.00,6,0.00 %,,,0.00 %,0,0,0,0,,1.95,0,,
06-Mar-26,B0FQBWKCCK,0,0,0,-2.58,,,0,0,0,0,0.00,3,0.00 %,,,0.00 %,0,0,0,0,,2.58,0,,
06-Mar-26,B0FQBYRTQG,0,0,0,-1.38,,,0,0,0,0,0.00,1,0.00 %,,,0.00 %,0,0,0,0,,1.38,0,,
06-Mar-26,B01N3OVRWE,0,0,0,0,,,0,0,0,0,0,1,0.00 %,,,0.00 %,0,0,0,0,,0,0,,
06-Mar-26,B0FCRCZ1HC,0,0,0,0,,,0,0,0,0,0,1,0.00 %,,,0.00 %,0,0,0,0,,0,0,,
06-Mar-26,B0FCRK9JCK,0,0,0,0,,,0,0,0,0,0,1,0.00 %,,,0.00 %,0,0,0,0,,0,0,,
