Parent ASIN,ASIN,SKU,Title,Short Name,Selling Price,Production Cost,Freight Cost,Fulfillment Fee,Expected Fulfillment Fee,Referral Percent,Active,Payout,Profit,ROI,Margin,Recoverable VAT on Fees,Break Even Price,Stock In Production,Stock Inbound,Inbound to 3PL,Inbound to AWD,3PL to FBA,AWD to FBA,Stock In 3PL,Stock In Inventory,Stock In Transfer,Stock in AWD,Production LeadTime,Freight LeadTime,Package Length (Inch),Package Width (Inch),Package Height (Inch),Package Weight (LB),Carton Length (Inch),Carton Width (Inch),Carton Height (Inch),Carton Weight (LB),Units Per Carton
B01LXPTTPP,B01KHB8DKA,PP-5O1O-0WO6,"Flux AVENTO Polarized Sunglasses for Men and Women UV400 Protection, Anti-Slip, Lightweight (Red/Grey)",,59.5000,,,6.1200,,0.17,True,43.2600,43.2600,0.00 %,72.71 %,0,7.37,0,0,0,0,0,,0,45,,,,,2.441,2.992,6.890,0.2646,,,,,
B01LXPTTPP,B01KHB8E4A,CA155-BLUE-GREY,"Flux AVENTO Polarized Sunglasses for Men and Women UV400 Protection, Anti-Slip, Lightweight (Blue/Grey)",,59.5000,,,6.1200,,0.17,True,43.2600,43.2600,0.00 %,72.71 %,0,7.37,0,0,0,0,0,,0,87,,,,,2.520,3.031,6.890,0.2867,,,,,
B01MTAIUHO,B01LWX7WBR,CA3644 S.BLK GREY,"Flux SPORTECH Polarized Sunglasses for Men & Women UV400 Protection,Anti-Slip, Lightweight (S.Blk/Grey)",,59.5000,,,6.1200,,0.17,True,43.2600,43.2600,0.00 %,72.71 %,0,7.37,0,0,0,0,0,,0,25,,,,,2.441,2.992,6.969,0.2646,,,,,
B01LXPTTPP,B01LXPTTPP,Avento CA,"Flux AVENTO Polarized Sunglasses for Men and Women UV400 Protection, Anti-Slip, Lightweight",,,,,,,,False,,,,,,,0,0,0,0,0,,0,,,,,,7.087,3.150,2.756,125.0000,,,,,
B01N4P4BCC,B01M5GA9EW,PT005-CGRED,"Flux Dynamic Polarized Sunglasses for Men & Women UV400,Anti-Slip,Lightweight (Xtal.Grey/Red)",,59.5000,,,6.1200,,0.17,True,43.2600,43.2600,0.00 %,72.71 %,0,7.37,0,0,0,0,0,,0,36,,,,,2.520,3.031,6.890,0.2646,,,,,
B01MTAIUHO,B01MTAIUHO,0M-QE92-IXCW,"Flux SPORTECH Polarized Sunglasses for Men & Women UV400 Lightweight TR90 Frame, Non-Slip Nosebridge and Temples",,,,,,,,False,,,,,,,0,0,0,0,0,,0,,,,,,7.087,3.150,2.756,125.0000,,,,,
B01LXPTTPP,B01N3OVRWE,CA155-BLACK-GREY,"Flux AVENTO Polarized Sunglasses for Men and Women UV400 Protection, Anti-Slip, Lightweight (BLK/Grey)",,59.5000,,,6.0700,,0.17,True,43.3100,43.3100,0.00 %,72.79 %,0,7.31,0,0,0,0,0,,0,15,,,,,2.441,2.953,7.008,0.2646,,,,,
B01N4P4BCC,B01N4C0F89,PT005 MAT.BLK GREY,"Flux Dynamic Polarized Sunglasses for Men & Women UV400,Anti-Slip,Lightweight (Mat.BLK/Grey)",,,,,,,,False,,,,,,,0,0,0,0,0,,0,0,,,,,2.200,3.600,6.800,0.1000,,,,,
B01N4P4BCC,B01N4P4BCC,LN-MW-I7EN-DQ,"Flux Dynamic Polarized Sunglasses for Men & Women UV400,Anti-Slip,Lightweight",,,,,,,,False,,,,,,,0,0,0,0,0,,0,,,,,,6.850,2.953,2.520,125.0000,,,,,
B01N4P4BCC,B01NAH9HQX,PT005-CGGRY,"Flux Dynamic Polarized Sunglasses for Men & Women UV400,Anti-Slip,Lightweight (Xtal.Grey/Grey)",,59.5000,,,6.1200,,0.17,True,43.2600,43.2600,0.00 %,72.71 %,0,7.37,0,0,0,0,0,,0,27,,,,,2.440,3.270,7.050,0.2403,,,,,
B01MTAIUHO,B06XS3D5RG,CA3644 S.BLK BLUE MIRROR,"Flux SPORTECH Polarized Sunglasses for Men & Women UV400 Protection,Anti-Slip, Lightweight (S.Blk/Blue)",,59.5000,,,6.1200,,0.17,True,43.2600,43.2600,0.00 %,72.71 %,0,7.37,0,0,0,0,0,,0,26,,,,,2.598,2.992,6.890,0.2426,,,,,
