Date,ASIN,Orders,Units,Sales,Profits,ACOS,TACOS,Organic Units,Promotion Units,PPC Orders,PPC Units,PPC Sales,Sessions,Conversions,Average Price,ROI,Margin,Refund Units,Refund Balance,Referral Fees,Fulfillment Fees,Cost of Goods,PPC Cost,Promotion Value,VAT,Recoverable VAT on Fees
07-Mar-26,B07CNV788S,1,1,40.00,31.17,,1.10 %,1,0,0,0,0.00,,,40.00,,77.93 %,0,0,6.00,2.39,,0.44,0.00,,
07-Mar-26,B07G8SL62W,1,1,40.00,12.37,27.13 %,45.60 %,0,0,2,2,67.22,,,40.00,,30.93 %,0,0,6.00,3.39,,18.24,0.00,,
07-Mar-26,B07G8WDT6H,6,6,240.00,105.14,139.90 %,19.59 %,5,1,1,1,33.61,,,40.00,,43.81 %,1,28.81,36.00,20.34,,47.02,2.69,,
07-Mar-26,B07G8WNCK3,2,2,80.00,50.33,32.40 %,13.61 %,1,0,1,1,33.61,,,40.00,,62.91 %,0,0,12.00,6.78,,10.89,0.00,,
07-Mar-26,B0C2P48NCR,4,4,160.33,116.68,,3.77 %,4,0,0,0,0.00,,,40.0825,,72.77 %,0,0,24.05,13.56,,6.04,0.00,,
07-Mar-26,B0C42LHKQ8,1,1,40.00,-5.12,10.29 %,17.30 %,0,0,2,2,67.22,,,40.00,,-12.80 %,1,28.81,6.00,3.39,,6.92,0.00,,
07-Mar-26,B0FCRCZ1HC,2,2,15.98,6.21,27.05 %,22.72 %,0,0,2,2,13.42,,,7.99,,38.86 %,0,0,2.40,3.74,,3.63,0.00,,
07-Mar-26,B0FCRLQG4B,3,3,23.23,13.47,9.84 %,2.84 %,2,0,1,1,6.71,,,7.7433333333333333333333333333,,57.99 %,0,0,3.49,5.61,,0.66,0.00,,
07-Mar-26,B0FCRQRHJ8,1,1,7.99,4.37,,6.88 %,1,0,0,0,0.00,,,7.99,,54.69 %,0,0,1.20,1.87,,0.55,0.00,,
07-Mar-26,B0FD3MZ97V,1,1,9.99,6.59,,,1,0,0,0,0,,,9.99,,65.97 %,0,0,1.50,1.90,,0,0.00,,
07-Mar-26,B0FD3PMPVC,7,7,70.43,28.99,30.27 %,25.24 %,0,0,7,7,58.73,,,10.061428571428571428571428571,,41.16 %,0,0,10.57,13.09,,17.78,0.00,,
07-Mar-26,B07CNKVWQP,0,0,0,-12.16,,,0,0,0,0,0.00,,,,,0.00 %,0,0,0,0,,12.16,0,,
07-Mar-26,B07CNN4FW7,0,0,0,-5.62,,,0,0,0,0,0.00,,,,,0.00 %,0,0,0,0,,5.62,0,,
07-Mar-26,B07CNNHJV5,0,0,0,-3.74,,,0,0,0,0,0.00,,,,,0.00 %,0,0,0,0,,3.74,0,,
07-Mar-26,B07CNNMCBD,0,0,0,-10.65,,,0,0,0,0,0.00,,,,,0.00 %,0,0,0,0,,10.65,0,,
07-Mar-26,B07CNT173P,0,0,0,-0.55,,,0,0,0,0,0.00,,,,,0.00 %,0,0,0,0,,0.55,0,,
07-Mar-26,B07CNYLXCC,0,0,0,-12.10,36.00 %,,0,0,1,1,33.61,,,,,0.00 %,0,0,0,0,,12.10,0,,
07-Mar-26,B07CP46YKD,0,0,0,-0.31,,,0,0,0,0,0.00,,,,,0.00 %,0,0,0,0,,0.31,0,,
07-Mar-26,B07G8W7FR8,0,0,0,-10.50,31.24 %,,0,0,1,1,33.61,,,,,0.00 %,0,0,0,0,,10.50,0,,
07-Mar-26,B07VMRK3KV,0,0,0,-1.04,,,0,0,0,0,0.00,,,,,0.00 %,0,0,0,0,,1.04,0,,
07-Mar-26,B08X9L1KRH,0,0,0,-1.59,,,0,0,0,0,0.00,,,,,0.00 %,0,0,0,0,,1.59,0,,
07-Mar-26,B0C77BTWV9,0,0,0,-3.18,,,0,0,0,0,0.00,,,,,0.00 %,0,0,0,0,,3.18,0,,
07-Mar-26,B0CSY8MBW8,0,0,0,-2.60,,,0,0,0,0,0.00,,,,,0.00 %,0,0,0,0,,2.60,0,,
07-Mar-26,B0CSYD66YR,0,0,0,-1.03,,,0,0,0,0,0.00,,,,,0.00 %,0,0,0,0,,1.03,0,,
