Parent ASIN,ASIN,SKU,Title,Short Name,Selling Price,Production Cost,Freight Cost,Fulfillment Fee,Expected Fulfillment Fee,Referral Percent,Active,Payout,Profit,ROI,Margin,Recoverable VAT on Fees,Break Even Price,Stock In Production,Stock Inbound,Inbound to 3PL,Inbound to AWD,3PL to FBA,AWD to FBA,Stock In 3PL,Stock In Inventory,Stock In Transfer,Stock in AWD,Production LeadTime,Freight LeadTime,Package Length (Inch),Package Width (Inch),Package Height (Inch),Package Weight (LB),Carton Length (Inch),Carton Width (Inch),Carton Height (Inch),Carton Weight (LB),Units Per Carton
B07PFW9CLN,B07CNKVWQP,9L-KQGW-DL1C,"ICECUBE Verano Polarisierte Sport-Sonnenbrille mit Anti-Rutsch-Funktion, verstellbarem Nasenpolster und leichtem Rahmen, für Männer und Frauen beim Fahren, Laufen, Baseball, Golf",,40.0000,,,3.3900,,0.15,True,30.6100,30.6100,0.00 %,76.53 %,0,3.99,0,0,0,0,0,,0,13,,,,,2.520,2.953,6.969,0.2867,,,,,
B07PFWNKK1,B07CNN4FW7,Sportech-S.BLK-Grey,"ICECUBE Sportech Sonnenbrille für Damen und Herren, polarisierter UV400-Schutz, leichter Rahmen, Sport-Sonnenbrille für Baseball, Golf, Laufen (S.BLK/Grey)",,40.0000,,,3.3900,,0.15,True,30.6100,30.6100,0.00 %,76.53 %,0,3.99,0,0,0,0,0,,0,39,,,,,2.598,3.031,6.850,0.2646,,,,,
B07PFWNKK1,B07CNNHJV5,Sportech-S.BLK-Red,"ICECUBE Sportech Sonnenbrille für Damen und Herren, polarisierter UV400-Schutz, leichter Rahmen, Sport-Sonnenbrille für Baseball, Golf, Laufen (S.BLK/Red)",,40.0000,,,3.3900,,0.15,True,30.6100,30.6100,0.00 %,76.53 %,0,3.99,0,0,0,0,0,,0,44,1,,,,2.598,3.031,6.850,0.2646,,,,,
B07PFWNKK1,B07CNNMCBD,Sportech-M.BLK-Grey,"ICECUBE Sportech Sonnenbrille für Damen und Herren, polarisierter UV400-Schutz, leichter Rahmen, Sport-Sonnenbrille für Baseball, Golf, Jagd (Mat.BLK/Grey)",,40.0000,,,3.0400,,0.15,True,30.9600,30.9600,0.00 %,77.40 %,0,3.58,0,0,0,0,0,,0,49,,,,,1.098,5.697,9.197,0.1103,,,,,
B07PDXC3C2,B07CNNXJ4Y,0Q-W0KH-ONYA,"ICECUBE Herren Sonnenbrille L Gr. L, Shiny Crystal Grey",,40.0000,,,3.3900,,0.15,True,30.6100,30.6100,0.00 %,76.53 %,0,3.99,0,0,0,0,0,,0,20,,,,,2.441,2.953,6.969,0.2646,,,,,
B07PDXC3C2,B07CNSD47H,M1-25EO-C8P7,"ICECUBE DYNAMIC Polarisierte Sport-Sonnenbrille UV400 Schutz mit Anti-Rutsch-Funktion und leichtem Rahmen - für Männer und Frauen beim Fahren, Laufen, Baseball, Golf, Freizeitsport und Aktivitäten",,40.0000,,,3.0400,,0.15,False,30.9600,30.9600,0.00 %,77.40 %,0,3.58,0,0,0,0,0,,0,0,,,,,1.201,5.799,9.299,0.1764,,,,,
B07PFW9CLN,B07CNSYJKD,QT-XAFB-5WKB,"ICECUBE Verano Polarisierte Sport-Sonnenbrille mit Anti-Rutsch-Funktion, verstellbarem Nasenpolster und leichtem Rahmen, für Männer und Frauen beim Fahren, Laufen, Baseball, Golf",,40.0000,,,3.3900,,0.15,True,30.6100,30.6100,0.00 %,76.53 %,0,3.99,0,0,0,0,0,,0,4,,,,,2.520,3.031,6.811,0.2867,,,,,
B07PFWNKK1,B07CNT173P,Sportech-S.BLK-Blue,"ICECUBE Sportech Sonnenbrille für Damen und Herren, polarisierter UV400-Schutz, leichter Rahmen, Sport-Sonnenbrille für Baseball, Golf, Laufen (S.BLK/Blue)",,40.0000,,,3.3900,,0.15,True,30.6100,30.6100,0.00 %,76.53 %,0,3.99,0,0,0,0,0,,0,33,,,,,2.520,3.031,7.008,0.2867,,,,,
B07PFW9CLN,B07CNV788S,Y8-P4ZL-95RW,"ICECUBE Verano Polarisierte Sport-Sonnenbrille mit Anti-Rutsch-Funktion, verstellbarem Nasenpolster und leichtem Rahmen, für Männer und Frauen beim Fahren, Laufen, Baseball, Golf",,40.0000,,,2.3900,,0.15,True,31.6100,31.6100,0.00 %,79.03 %,0,2.81,0,0,0,0,0,,0,24,1,,,,0.866,5.591,9.291,0.1323,,,,,
B07PFW9CLN,B07CNV8S82,DT-7LPG-FVTB,"ICECUBE Verano Polarisierte Sport-Sonnenbrille mit Anti-Rutsch-Funktion, verstellbarem Nasenpolster und leichtem Rahmen, für Männer und Frauen beim Fahren, Laufen, Baseball, Golf",,40.0000,,,3.3900,,0.15,True,30.6100,30.6100,0.00 %,76.53 %,0,3.99,0,0,0,0,0,,0,38,,,,,2.638,2.953,6.811,0.2205,,,,,
B07PFW9CLN,B07CNYLXCC,4L-T4SW-6S0T,"ICECUBE Verano Polarisierte Sport-Sonnenbrille mit Anti-Rutsch-Funktion, verstellbarem Nasenpolster und leichtem Rahmen, für Männer und Frauen beim Fahren, Laufen, Baseball, Golf",,40.0000,,,2.3900,,0.15,True,31.6100,31.6100,0.00 %,79.03 %,0,2.81,0,0,0,0,0,,0,14,,,,,0.866,5.587,9.291,0.1323,,,,,
B07PDXC3C2,B07CNZPNN9,ZH-EET1-OGHQ,"ICECUBE DYNAMIC Polarisierte Sport-Sonnenbrille UV400 Schutz mit Anti-Rutsch-Funktion und leichtem Rahmen - für Männer und Frauen beim Fahren, Laufen, Baseball, Golf, Freizeitsport und Aktivitäten",,40.0000,,,3.0400,,0.15,False,30.9600,30.9600,0.00 %,77.40 %,0,3.58,0,0,0,0,0,,0,0,,,,,1.197,6.098,8.996,0.1323,,,,,
