Date,Currency,Campaign Name,Attribution type,Purchased ASIN,"14 Day Total Sales ",14 Day Total Orders (#),14 Day Total Units (#),14 Day New-to-brand Sales,14 Day New-to-brand Orders (#),14 Day New-to-brand Units (#),14 Day % of Sales New-to-brand,14 Day % of Orders New-to-brand,14 Day % of Units New-to-brand,Cost type,14 Day Total Sales - (Click),14 Day Total Orders (#) - (Click),14 Day Total Units (#) - (Click)
"Feb 1, 2026",EUR,DE Strap SB Banner to Store Nov 2025 READY,Promoted,B0FD3MZ97V,€8.39,1,1,€8.39,1,1,100.00%,100.00%,100.00%,CPC,€8.39,1,1
"Feb 1, 2026",EUR,DE Strap SB Banner to Landing Page Nov 2025 READY,Promoted,B0FD3PMPVC,€8.39,1,1,€8.39,1,1,100.00%,100.00%,100.00%,CPC,€8.39,1,1
"Feb 1, 2026",EUR,DE Strap SB Banner to Store Nov 2025 READY,Promoted,B0FD3PMPVC,€8.39,1,1,€8.39,1,1,100.00%,100.00%,100.00%,CPC,€8.39,1,1
"Feb 2, 2026",EUR,SB_BROAD_Brillenband fuer Boot_120425,Promoted,B0FD3PMPVC,€8.39,1,1,€8.39,1,1,100.00%,100.00%,100.00%,CPC,€8.39,1,1
"Feb 2, 2026",EUR,DE Strap SB Banner to Store Nov 2025 READY,Promoted,B0FCRCZ1HC,€13.42,2,2,€13.42,2,2,100.00%,100.00%,100.00%,CPC,€13.42,2,2
"Feb 2, 2026",EUR,DE Strap SB Banner to Store Nov 2025 READY,Promoted,B0FD3PMPVC,€8.39,1,1,€8.39,1,1,100.00%,100.00%,100.00%,CPC,€8.39,1,1
"Feb 2, 2026",EUR,SB_BROAD_brillenhalter ohne_1201_1256,Promoted,B0FD3MZ97V,€8.39,1,1,€8.39,1,1,100.00%,100.00%,100.00%,CPC,€8.39,1,1
"Feb 3, 2026",EUR,DE Strap SB Banner to Landing Page Nov 2025 READY,Promoted,B0FD3PMPVC,€8.39,1,1,€8.39,1,1,100.00%,100.00%,100.00%,CPC,€8.39,1,1
"Feb 3, 2026",EUR,DE Strap SB Banner to Store Nov 2025 READY,Promoted,B0FCRLQG4B,€6.71,1,1,€6.71,1,1,100.00%,100.00%,100.00%,CPC,€6.71,1,1
"Feb 3, 2026",EUR,DE Strap SB Banner to Store Nov 2025 READY,Promoted,B0FCRCZ1HC,€6.71,1,1,€6.71,1,1,100.00%,100.00%,100.00%,CPC,€6.71,1,1
"Feb 4, 2026",EUR,DE Strap SB Banner to Landing Page Nov 2025 READY,Promoted,B0FD3LHYMN,€8.39,1,1,€8.39,1,1,100.00%,100.00%,100.00%,CPC,€8.39,1,1
"Feb 4, 2026",EUR,SB_BROAD_Cat Eye Sonnenbrille_120425,Promoted,B07G8SL62W,€33.61,1,1,€33.61,1,1,100.00%,100.00%,100.00%,CPC,€33.61,1,1
"Feb 4, 2026",EUR,SB_BROAD_Strand Sonnenbrille_120425,Promoted,B07G8WDT6H,€33.61,1,1,€33.61,1,1,100.00%,100.00%,100.00%,CPC,€33.61,1,1
"Feb 4, 2026",EUR,SB_BROAD_pilotenbrille_1201_1156,Promoted,B07G8SL62W,€33.61,1,1,€33.61,1,1,100.00%,100.00%,100.00%,CPC,€33.61,1,1
