Date,ASIN,Orders,Units,Sales,Profits,ACOS,TACOS,Organic Units,Promotion Units,PPC Orders,PPC Units,PPC Sales,Sessions,Conversions,Average Price,ROI,Margin,Refund Units,Refund Balance,Referral Fees,Fulfillment Fees,Cost of Goods,PPC Cost,Promotion Value,VAT,Recoverable VAT on Fees
07-Mar-26,B07CNN4FW7,1,1,27.99,-5.61,113.21 %,94.32 %,0,0,1,1,23.32,,,27.99,,-20.04 %,0,0,4.20,3.00,,26.40,0.00,,
07-Mar-26,B07CNT173P,1,1,27.99,19.09,7.29 %,6.07 %,0,0,1,1,23.32,,,27.99,,68.20 %,0,0,4.20,3.00,,1.70,0.00,,
07-Mar-26,B07G8SL62W,3,3,105.00,73.20,24.17 %,6.71 %,2,0,1,1,29.17,,,35.00,,69.71 %,0,0,15.75,9.00,,7.05,0.00,,
07-Mar-26,B07G8WDT6H,2,2,70.00,43.03,17.95 %,14.96 %,0,0,2,2,58.34,,,35.00,,61.47 %,0,0,10.50,6.00,,10.47,0.00,,
07-Mar-26,B07G8WNCK3,1,1,35.00,26.75,,,1,0,0,0,0,,,35.00,,76.43 %,0,0,5.25,3.00,,0,0.00,,
07-Mar-26,B0C42LHKQ8,1,1,35.00,23.76,,1.89 %,1,1,0,0,0.00,,,35.00,,67.89 %,0,0,5.25,3.00,,0.66,2.33,,
07-Mar-26,B0DXPTBYZD,1,1,35.00,26.75,,,1,0,0,0,0,,,35.00,,76.43 %,0,0,5.25,3.00,,0,0.00,,
07-Mar-26,B0F1CWQCYB,1,1,20.00,13.25,,,1,1,0,0,0,,,20.00,,66.25 %,0,0,3.00,2.42,,0,1.33,,
07-Mar-26,B0F1CZQRYS,2,2,40.00,-26.37,,103.15 %,2,0,0,0,0.00,,,20.00,,-65.93 %,1,14.27,6.00,4.84,,41.26,0.00,,
07-Mar-26,B0FCRCZ1HC,1,1,7.49,3.68,,16.42 %,1,0,0,0,0.00,,,7.49,,49.13 %,0,0,1.12,1.46,,1.23,0.00,,
07-Mar-26,B0FD3LHYMN,1,1,9.99,4.68,28.25 %,23.52 %,0,0,1,1,8.32,,,9.99,,46.85 %,0,0,1.50,1.46,,2.35,0.00,,
07-Mar-26,B0FD3PMPVC,4,4,39.96,3.00,80.51 %,62.86 %,0,0,4,4,31.20,,,9.99,,7.51 %,0,0,6.00,5.84,,25.12,0.00,,
07-Mar-26,B0FD3PSJG3,1,1,9.99,6.55,5.77 %,4.80 %,0,0,1,1,8.32,,,9.99,,65.57 %,0,0,1.50,1.46,,0.48,0.00,,
07-Mar-26,B07CNKVWQP,0,0,0,-4.11,,,0,0,0,0,0.00,,,,,0.00 %,0,0,0,0,,4.11,0,,
07-Mar-26,B07CNNHJV5,0,0,0,-2.48,,,0,0,0,0,0.00,,,,,0.00 %,0,0,0,0,,2.48,0,,
07-Mar-26,B07CNV788S,0,0,0,-0.70,,,0,0,0,0,0.00,,,,,0.00 %,0,0,0,0,,0.70,0,,
07-Mar-26,B07CP46YKD,0,0,0,-1.54,,,0,0,0,0,0.00,,,,,0.00 %,0,0,0,0,,1.54,0,,
07-Mar-26,B07G8W7FR8,0,0,0,-2.64,,,0,0,0,0,0.00,,,,,0.00 %,0,0,0,0,,2.64,0,,
07-Mar-26,B07VMRK3KV,0,0,0,-11.65,39.94 %,,0,0,1,1,29.17,,,,,0.00 %,0,0,0,0,,11.65,0,,
07-Mar-26,B09V2GNC1H,0,0,0,-1.10,,,0,0,0,0,0.00,,,,,0.00 %,0,0,0,0,,1.10,0,,
07-Mar-26,B0CSY8MBW8,0,0,0,-0.55,,,0,0,0,0,0.00,,,,,0.00 %,0,0,0,0,,0.55,0,,
07-Mar-26,B0CSYD3DWY,0,0,0,-0.55,,,0,0,0,0,0.00,,,,,0.00 %,0,0,0,0,,0.55,0,,
07-Mar-26,B0DWMFL3JX,0,0,0,-0.52,,,0,0,0,0,0.00,,,,,0.00 %,0,0,0,0,,0.52,0,,
07-Mar-26,B0DWMG7Q7D,0,0,0,-1.32,,,0,0,0,0,0.00,,,,,0.00 %,0,0,0,0,,1.32,0,,
07-Mar-26,B0F1CVFCGQ,0,0,0,-1.00,,,0,0,0,0,0.00,,,,,0.00 %,0,0,0,0,,1.00,0,,
07-Mar-26,B0F1D2NSWN,0,0,0,-9.36,,,0,0,0,0,0.00,,,,,0.00 %,0,0,0,0,,9.36,0,,
07-Mar-26,B0F1D2QG1X,0,0,0,-2.97,,,0,0,0,0,0.00,,,,,0.00 %,0,0,0,0,,2.97,0,,
07-Mar-26,B0FCRK9JCK,0,0,0,-0.61,,,0,0,0,0,0.00,,,,,0.00 %,0,0,0,0,,0.61,0,,
07-Mar-26,B0FCRLQG4B,0,0,0,-5.41,,,0,0,0,0,0.00,,,,,0.00 %,0,0,0,0,,5.41,0,,
07-Mar-26,B0FCRQRHJ8,0,0,0,-0.55,,,0,0,0,0,0.00,,,,,0.00 %,0,0,0,0,,0.55,0,,
07-Mar-26,B0FD3MZ97V,0,0,0,-0.55,,,0,0,0,0,0.00,,,,,0.00 %,0,0,0,0,,0.55,0,,
07-Mar-26,B0G64L8VGX,0,0,0,-0.55,,,0,0,0,0,0.00,,,,,0.00 %,0,0,0,0,,0.55,0,,
07-Mar-26,B0G64Q4YRJ,0,0,0,-0.33,,,0,0,0,0,0.00,,,,,0.00 %,0,0,0,0,,0.33,0,,
07-Mar-26,Sponsored Brands Product Collection/Brand Video,0,0,0,-35.10,,,0,0,1,1,29.17,,,,,0.00 %,0,0,0,0,,35.10,0,,
06-Mar-26,B07CNKVWQP,2,2,60.00,43.07,7.72 %,3.22 %,1,0,1,1,25.00,6,33.33 %,30.00,,71.78 %,0,0,9.00,6.00,,1.93,0.00,,
06-Mar-26,B07G8WDT6H,4,4,140.00,100.50,11.14 %,4.64 %,2,0,2,2,58.34,42,9.52 %,35.00,,71.79 %,0,0,21.00,12.00,,6.50,0.00,,
06-Mar-26,B07G8WNCK3,1,1,35.00,26.09,,1.89 %,1,0,0,0,0.00,11,9.09 %,35.00,,74.54 %,0,0,5.25,3.00,,0.66,0.00,,
06-Mar-26,B07VMRK3KV,1,1,35.00,14.31,42.65 %,35.54 %,0,0,1,1,29.17,17,5.88 %,35.00,,40.89 %,0,0,5.25,3.00,,12.44,0.00,,
06-Mar-26,B0C2P48NCR,1,1,35.00,1.78,,,1,0,0,0,0,9,11.11 %,35.00,,5.09 %,1,24.97,5.25,3.00,,0,0.00,,
06-Mar-26,B0DWMG7Q7D,1,1,34.50,23.58,,1.28 %,1,1,0,0,0.00,5,20.00 %,34.50,,68.35 %,0,0,5.18,3.00,,0.44,2.30,,
06-Mar-26,B0F1CZQRYS,1,1,20.00,-26.64,247.27 %,206.10 %,0,0,1,1,16.67,58,1.72 %,20.00,,-133.20 %,0,0,3.00,2.42,,41.22,0.00,,
06-Mar-26,B0FCRLQG4B,2,2,14.98,7.84,23.80 %,13.22 %,1,0,1,1,8.32,7,28.57 %,7.49,,52.34 %,0,0,2.24,2.92,,1.98,0.00,,
06-Mar-26,B0FD3LHYMN,2,2,19.98,14.06,,,2,0,0,0,0,5,40.00 %,9.99,,70.37 %,0,0,3.00,2.92,,0,0.00,,
06-Mar-26,B0FD3MZ97V,2,2,19.98,13.43,,2.75 %,2,0,0,0,0.00,5,40.00 %,9.99,,67.22 %,0,0,3.00,3.00,,0.55,0.00,,
06-Mar-26,B0FD3PMPVC,5,5,50.19,18.74,42.05 %,33.11 %,0,0,5,5,39.52,27,18.52 %,10.038,,37.34 %,0,0,7.53,7.30,,16.62,0.00,,
06-Mar-26,B0FD3PSJG3,1,1,9.99,7.03,,,1,0,0,0,0,8,12.50 %,9.99,,70.37 %,0,0,1.50,1.46,,0,0.00,,
06-Mar-26,B07G8SL62W,0,0,0,-36.39,39.15 %,,0,0,1,1,29.17,42,0.00 %,,,0.00 %,1,24.97,0,0,,11.42,0,,
06-Mar-26,B0FCRCZ1HC,0,0,0,-6.06,,,0,0,0,0,0.00,1,0.00 %,,,0.00 %,1,5.34,0,0,,0.72,0,,
06-Mar-26,B07CNN4FW7,0,0,0,-30.97,,,0,0,0,0,0.00,41,0.00 %,,,0.00 %,0,0,0,0,,30.97,0,,
06-Mar-26,B07CNNHJV5,0,0,0,-4.12,,,0,0,0,0,0.00,13,0.00 %,,,0.00 %,0,0,0,0,,4.12,0,,
06-Mar-26,B07CNT173P,0,0,0,-3.30,,,0,0,0,0,0.00,17,0.00 %,,,0.00 %,0,0,0,0,,3.30,0,,
06-Mar-26,B07CNV788S,0,0,0,-0.67,,,0,0,0,0,0.00,3,0.00 %,,,0.00 %,0,0,0,0,,0.67,0,,
06-Mar-26,B07CNYLXCC,0,0,0,-0.92,,,0,0,0,0,0.00,3,0.00 %,,,0.00 %,0,0,0,0,,0.92,0,,
06-Mar-26,B07CP26XD7,0,0,0,-1.10,,,0,0,0,0,0.00,5,0.00 %,,,0.00 %,0,0,0,0,,1.10,0,,
06-Mar-26,B0C42LHKQ8,0,0,0,-0.66,,,0,0,0,0,0.00,12,0.00 %,,,0.00 %,0,0,0,0,,0.66,0,,
06-Mar-26,B0CSY8MBW8,0,0,0,-0.44,,,0,0,0,0,0.00,2,0.00 %,,,0.00 %,0,0,0,0,,0.44,0,,
06-Mar-26,B0CSYD3DWY,0,0,0,-0.55,,,0,0,0,0,0.00,2,0.00 %,,,0.00 %,0,0,0,0,,0.55,0,,
06-Mar-26,B0F1CZK6SN,0,0,0,-0.55,,,0,0,0,0,0.00,3,0.00 %,,,0.00 %,0,0,0,0,,0.55,0,,
06-Mar-26,B0F1D2NSWN,0,0,0,-8.66,,,0,0,0,0,0.00,19,0.00 %,,,0.00 %,0,0,0,0,,8.66,0,,
06-Mar-26,B0F1D2QG1X,0,0,0,-3.80,,,0,0,0,0,0.00,16,0.00 %,,,0.00 %,0,0,0,0,,3.80,0,,
06-Mar-26,B0FCRK9JCK,0,0,0,-1.38,,,0,0,0,0,0.00,3,0.00 %,,,0.00 %,0,0,0,0,,1.38,0,,
06-Mar-26,B0FCRQRHJ8,0,0,0,-1.02,12.26 %,,0,0,1,1,8.32,2,0.00 %,,,0.00 %,0,0,0,0,,1.02,0,,
06-Mar-26,B07CNNXJ4Y,0,0,0,0,,,0,0,0,0,0,2,0.00 %,,,0.00 %,0,0,0,0,,0,0,,
06-Mar-26,B07CNV8S82,0,0,0,0,,,0,0,0,0,0,3,0.00 %,,,0.00 %,0,0,0,0,,0,0,,
06-Mar-26,B07CP46YKD,0,0,0,0,,,0,0,0,0,0,1,0.00 %,,,0.00 %,0,0,0,0,,0,0,,
06-Mar-26,B07G8W7FR8,0,0,0,0,,,0,0,0,0,0,7,0.00 %,,,0.00 %,0,0,0,0,,0,0,,
06-Mar-26,B07VMRK1FC,0,0,0,0,,,0,0,0,0,0,1,0.00 %,,,0.00 %,0,0,0,0,,0,0,,
06-Mar-26,B08X9L1KRH,0,0,0,0,,,0,0,0,0,0,2,0.00 %,,,0.00 %,0,0,0,0,,0,0,,
06-Mar-26,B09V2JRH2L,0,0,0,0,,,0,0,0,0,0,1,0.00 %,,,0.00 %,0,0,0,0,,0,0,,
06-Mar-26,B0CSYPVL3D,0,0,0,0,,,0,0,0,0,0,1,0.00 %,,,0.00 %,0,0,0,0,,0,0,,
06-Mar-26,B0DWMFL3JX,0,0,0,0,,,0,0,0,0,0,1,0.00 %,,,0.00 %,0,0,0,0,,0,0,,
06-Mar-26,B0DXPTBYZD,0,0,0,0,,,0,0,0,0,0,1,0.00 %,,,0.00 %,0,0,0,0,,0,0,,
06-Mar-26,B0F1CT3GCR,0,0,0,0,,,0,0,0,0,0,1,0.00 %,,,0.00 %,0,0,0,0,,0,0,,
06-Mar-26,B0F1CWQCYB,0,0,0,0,,,0,0,0,0,0,18,0.00 %,,,0.00 %,0,0,0,0,,0,0,,
06-Mar-26,B0F1D3JGDH,0,0,0,0,,,0,0,0,0,0,5,0.00 %,,,0.00 %,0,0,0,0,,0,0,,
06-Mar-26,B0F1D3VGX6,0,0,0,0,,,0,0,0,0,0,1,0.00 %,,,0.00 %,0,0,0,0,,0,0,,
06-Mar-26,B0F1D4F97T,0,0,0,0,,,0,0,0,0,0,1,0.00 %,,,0.00 %,0,0,0,0,,0,0,,
06-Mar-26,B0G64L8VGX,0,0,0,0,,,0,0,0,0,0,2,0.00 %,,,0.00 %,0,0,0,0,,0,0,,
06-Mar-26,Sponsored Brands Product Collection/Brand Video,0,0,0,-33.85,,,0,0,1,1,8.32,,,,,0.00 %,0,0,0,0,,33.85,0,,
05-Mar-26,B07CNKVWQP,1,1,30.00,20.49,8.04 %,6.70 %,0,0,1,1,25.00,11,9.09 %,30.00,,68.30 %,0,0,4.50,3.00,,2.01,0.00,,
05-Mar-26,B07CNN4FW7,1,1,27.99,0.52,,72.42 %,1,0,0,0,0.00,35,2.86 %,27.99,,1.86 %,0,0,4.20,3.00,,20.27,0.00,,
05-Mar-26,B07CNT173P,3,3,83.97,58.92,14.79 %,4.11 %,2,0,1,1,23.32,14,21.43 %,27.99,,70.17 %,0,0,12.60,9.00,,3.45,0.00,,
05-Mar-26,B07G8SL62W,1,1,35.00,21.08,,16.20 %,1,0,0,0,0.00,33,3.03 %,35.00,,60.23 %,0,0,5.25,3.00,,5.67,0.00,,
05-Mar-26,B07G8WDT6H,3,3,105.00,69.08,,6.20 %,3,2,0,0,0.00,45,6.67 %,35.00,,65.79 %,0,0,15.75,9.00,,6.51,4.66,,
05-Mar-26,B07VMRK3KV,1,1,35.00,13.32,36.03 %,30.03 %,0,1,1,1,29.17,14,7.14 %,35.00,,38.06 %,0,0,5.25,3.00,,10.51,2.92,,
05-Mar-26,B0C2P48NCR,2,2,70.00,53.39,,0.16 %,2,0,0,0,0.00,12,16.67 %,35.00,,76.27 %,0,0,10.50,6.00,,0.11,0.00,,
05-Mar-26,B0C42LHKQ8,2,2,70.00,52.93,,0.81 %,2,0,0,0,0.00,9,22.22 %,35.00,,75.61 %,0,0,10.50,6.00,,0.57,0.00,,
05-Mar-26,B0F1CWQCYB,1,1,20.00,13.25,,,1,1,0,0,0,17,5.88 %,20.00,,66.25 %,0,0,3.00,2.42,,0,1.33,,
05-Mar-26,B0F1CZQRYS,5,5,100.00,22.30,60.71 %,50.60 %,0,0,5,5,83.35,75,6.67 %,20.00,,22.30 %,0,0,15.00,12.10,,50.60,0.00,,
05-Mar-26,B0F1D2NSWN,1,1,19.49,-7.24,52.65 %,43.87 %,0,0,1,1,16.24,13,7.69 %,19.49,,-37.15 %,1,12.84,2.92,2.42,,8.55,0.00,,
05-Mar-26,B0FCRLQG4B,2,2,14.98,9.21,,4.07 %,2,0,0,0,0.00,9,22.22 %,7.49,,61.48 %,0,0,2.24,2.92,,0.61,0.00,,
05-Mar-26,B0FCRQRHJ8,1,1,7.49,4.47,7.05 %,5.87 %,0,0,1,1,6.24,5,20.00 %,7.49,,59.68 %,0,0,1.12,1.46,,0.44,0.00,,
05-Mar-26,B0FD3MZ97V,1,1,9.99,6.99,,,1,0,0,0,0,4,25.00 %,9.99,,69.97 %,0,0,1.50,1.50,,0,0.00,,
05-Mar-26,B0FD3PMPVC,4,4,39.96,11.85,48.89 %,40.72 %,0,0,4,4,33.28,30,13.33 %,9.99,,29.65 %,0,0,6.00,5.84,,16.27,0.00,,
05-Mar-26,B0FD3PSJG3,1,1,9.99,7.03,,,1,0,0,0,0,10,10.00 %,9.99,,70.37 %,0,0,1.50,1.46,,0,0.00,,
05-Mar-26,B0G64L8VGX,1,1,7.99,4.65,22.22 %,18.52 %,0,0,1,1,6.66,4,25.00 %,7.99,,58.20 %,0,0,0.40,1.46,,1.48,0.00,,
05-Mar-26,B07CNNHJV5,0,0,0,-4.59,15.74 %,,0,0,1,1,29.17,13,0.00 %,,,0.00 %,0,0,0,0,,4.59,0,,
05-Mar-26,B07CNNXJ4Y,0,0,0,-0.26,,,0,0,0,0,0.00,1,0.00 %,,,0.00 %,0,0,0,0,,0.26,0,,
05-Mar-26,B07CNV788S,0,0,0,-0.64,,,0,0,0,0,0.00,2,0.00 %,,,0.00 %,0,0,0,0,,0.64,0,,
05-Mar-26,B07CNV8S82,0,0,0,-0.35,,,0,0,0,0,0.00,2,0.00 %,,,0.00 %,0,0,0,0,,0.35,0,,
05-Mar-26,B07CP26XD7,0,0,0,-0.55,,,0,0,0,0,0.00,1,0.00 %,,,0.00 %,0,0,0,0,,0.55,0,,
05-Mar-26,B07G8W7FR8,0,0,0,-0.53,,,0,0,0,0,0.00,7,0.00 %,,,0.00 %,0,0,0,0,,0.53,0,,
05-Mar-26,B0DWMF64DJ,0,0,0,-0.55,,,0,0,0,0,0.00,3,0.00 %,,,0.00 %,0,0,0,0,,0.55,0,,
05-Mar-26,B0DWMG7Q7D,0,0,0,-1.66,,,0,0,0,0,0.00,10,0.00 %,,,0.00 %,0,0,0,0,,1.66,0,,
05-Mar-26,B0F1D2QG1X,0,0,0,-1.94,,,0,0,0,0,0.00,15,0.00 %,,,0.00 %,0,0,0,0,,1.94,0,,
05-Mar-26,B0FCRCZ1HC,0,0,0,-0.37,,,0,0,0,0,0.00,2,0.00 %,,,0.00 %,0,0,0,0,,0.37,0,,
05-Mar-26,B0FCRK9JCK,0,0,0,-0.77,,,0,0,0,0,0.00,5,0.00 %,,,0.00 %,0,0,0,0,,0.77,0,,
