Parent ASIN,ASIN,SKU,Title,Short Name,Selling Price,Production Cost,Freight Cost,Fulfillment Fee,Expected Fulfillment Fee,Referral Percent,Active,Payout,Profit,ROI,Margin,Recoverable VAT on Fees,Break Even Price,Stock In Production,Stock Inbound,Inbound to 3PL,Inbound to AWD,3PL to FBA,AWD to FBA,Stock In 3PL,Stock In Inventory,Stock In Transfer,Stock in AWD,Production LeadTime,Freight LeadTime,Package Length (Inch),Package Width (Inch),Package Height (Inch),Package Weight (LB),Carton Length (Inch),Carton Width (Inch),Carton Height (Inch),Carton Weight (LB),Units Per Carton
B07C79CNHX,B07B63J66B,RAIN - BLKGRY,"ICECUBE RAINIER NEO PC Polarized Sports Sunglasses with 100% UV Protection - Super Lightweight Suitable for Driving, Fishing, Cycling and Other Outdoor Activities – Adjustable nose pad & temple",,,,,,,,False,,,,,,,0,0,0,0,0,,0,0,,,,,2.720,3.390,7.170,0.5094,,,,,
B07C79CNHX,B07B65DLLJ,RAIN - MATGRY,"ICECUBE RAINIER NEO PC Polarized Sports Sunglasses with 100% UV Protection - Super Lightweight Suitable for Driving, Fishing, Cycling and Other Outdoor Activities – Adjustable nose pad & temple",,,,,,,,False,,,,,,,0,0,0,0,0,,0,0,,,,,2.720,3.350,7.130,0.5292,,,,,
B07CNT33P8,B07CNK7R31,LN-0N8J-WA00,"ICECUBE Sportech Polarized Sports Sunglasses with Anti-Slip Function and Light Frame - for Men and Women when Driving, Running, Baseball, Golf, Casual Sports and Activities (M.Black, Blue)",,,,,,,,False,,,,,,,0,0,0,0,0,,0,0,,,,,1.098,5.697,9.197,0.1103,,,,,
B0C4Q9PWMH,B07CNKVWQP,9L-KQGW-DL1C,"ICECUBE Verano Polarized Sports Sunglasses with Anti-Slip Function and Light Frame - for Men and Women when Driving, Running, Baseball, Golf, Casual Sports and Activities (Crystal Grey/Red)",,30.0000,,,3.0000,,0.15,True,22.5000,22.5000,0.00 %,75.00 %,0,3.53,0,0,0,0,0,,0,4,,,,,2.520,2.953,6.969,0.2867,,,,,
B07CNT33P8,B07CNN4FW7,EW-AK5W-USSG,"ICECUBE Sportech Polarized Sports Sunglasses with Anti-Slip Function and Light Frame - for Men and Women Driving, Running, Baseball, Golf (S.Black, Grey)",,27.9900,,,3.0000,,0.15,True,20.7900,20.7900,0.00 %,74.28 %,0,3.53,0,0,0,0,0,,0,43,,,,,2.598,3.031,6.850,0.2646,,,,,
B07CNT33P8,B07CNNHJV5,9P-P96J-0LXC,"ICECUBE Sportech Polarized Sports Sunglasses with Anti-Slip Function and Light Frame - for Men and Women Driving, Running, Baseball, Golf (S.Black, Red)",,27.9900,,,3.0000,,0.15,True,20.7900,20.7900,0.00 %,74.28 %,0,3.53,0,0,0,0,0,,0,33,,,,,2.598,3.031,6.850,0.2646,,,,,
B07CNT33P8,B07CNNMCBD,43-FU7L-I3VJ,"ICECUBE Sportech Polarized Sports Sunglasses with Anti-Slip Function and Light Frame - for Men and Women when Driving, Running, Baseball, Golf, Casual Sports and Activities (M.Black, Grey)",,,,,,,,False,,,,,,,0,0,0,0,0,,0,0,,,,,1.098,5.697,9.197,0.1103,,,,,
B07CNQBT4S,B07CNNXJ4Y,0Q-W0KH-ONYA,"ICECUBE DYNAMIC Polarized Sports Sunglasses UV400 Protection with Anti-Slip Function and Lightweight Frame - for Men and Women when Driving, Running, Baseball, Golf, Casual Sports (Crystal Grey/Blue)",,35.0000,,,3.0000,,0.15,True,26.7500,26.7500,0.00 %,76.43 %,0,3.53,0,0,0,0,0,,0,48,,,,,2.441,2.953,6.969,0.2646,,,,,
B07CNQBT4S,B07CNQBT4S,O3-AJV4-BXM6,"ICECUBE DYNAMIC Polarized Sports Sunglasses UV400 Protection with Anti-Slip Function and Lightweight Frame - for Men and Women when Driving, Running, Baseball, Golf, Casual Sports and Activities",,,,,,,,False,,,,,,,0,0,0,0,0,,0,,,,,,7.087,3.150,2.756,125.0000,,,,,
B07CNQBT4S,B07CNSD47H,M1-25EO-C8P7,"ICECUBE DYNAMIC Polarized Sports Sunglasses - Anti-Slip, Lightweight for Men & Women: Driving, Running, Golf, Casual Sports (Matte BLK/Red)",,35.0000,,,2.7200,,0.15,False,27.0300,27.0300,0.00 %,77.23 %,0,3.2,0,0,0,0,0,,0,0,,,,,1.201,5.799,9.299,0.1764,,,,,
B0C4Q9PWMH,B07CNSYJKD,QT-XAFB-5WKB,"ICECUBE Verano Polarized Sports Sunglasses with Anti-Slip Function and Light Frame - for Men and Women when Driving, Running, Baseball, Golf, Casual Sports and Activities (Mat.Black/Red)",,30.0000,,,3.0000,,0.15,True,22.5000,22.5000,0.00 %,75.00 %,0,3.53,0,0,0,0,0,,0,7,,,,,2.520,3.031,6.811,0.2867,,,,,
B07CNT33P8,B07CNT173P,0B-5FKT-6OSH,"ICECUBE Sportech Polarized Sports Sunglasses with Anti-Slip Function and Light Frame - for Men and Women Driving, Running, Baseball, Golf (S.Black, Blue)",,27.9900,,,3.0000,,0.15,True,20.7900,20.7900,0.00 %,74.28 %,0,3.53,0,0,0,0,0,,0,49,,,,,2.520,3.031,7.008,0.2867,,,,,
B07CNT33P8,B07CNT96YW,JP-4U71-HBK0,"ICECUBE Sportech Polarized Sports Sunglasses with Anti-Slip Function and Light Frame - for Men and Women when Driving, Running, Baseball, Golf, Casual Sports and Activities (M.Black, Red)",,,,,,,,False,,,,,,,0,0,0,0,0,,0,0,,,,,1.098,5.697,9.197,0.1103,,,,,
B0C4Q9PWMH,B07CNV788S,Y8-P4ZL-95RW,"ICECUBE Verano Polarized Sports Sunglasses with Anti-Slip Function and Light Frame - for Men and Women when Driving, Running, Baseball, Golf, Casual Sports and Activities (Mat.BLK/Grey)",,30.0000,,,1.8900,,0.15,True,23.6100,23.6100,0.00 %,78.70 %,0,2.22,0,0,0,0,0,,0,45,,,,,0.866,5.591,9.291,0.1323,,,,,
B0C4Q9PWMH,B07CNV8S82,DT-7LPG-FVTB,"ICECUBE Verano Polarized Sports Sunglasses with Anti-Slip Function and Light Frame - for Men and Women when Driving, Running, Baseball, Golf, Casual Sports and Activities (Mat.BLK/Blue)",,30.0000,,,3.0000,,0.15,True,22.5000,22.5000,0.00 %,75.00 %,0,3.53,0,0,0,0,0,,0,38,,,,,2.638,2.953,6.811,0.2205,,,,,
B0C4Q9PWMH,B07CNYLXCC,4L-T4SW-6S0T,"ICECUBE Verano Polarized Sports Sunglasses with Anti-Slip Function and Light Frame - for Men and Women when Driving, Running, Baseball, Golf, Casual Sports and Activities(Crystal Grey/Grey)",,30.0000,,,1.8900,,0.15,True,23.6100,23.6100,0.00 %,78.70 %,0,2.22,0,0,0,0,0,,0,8,,,,,0.866,5.587,9.291,0.1323,,,,,
B07CNQBT4S,B07CNZPNN9,ZH-EET1-OGHQ,"ICECUBE DYNAMIC Polarized Sports Sunglasses UV400 Protection Anti-Slip and Lightweight – Men and Women – for Driving, Running, Baseball, Golf, Sports and Activities (Matte BLK/Grey)",,35.0000,,,2.7200,,0.15,False,27.0300,27.0300,0.00 %,77.23 %,0,3.2,0,0,0,0,0,,0,0,,,,,1.197,6.098,8.996,0.1323,,,,,
B07CNQBT4S,B07CP26XD7,EC-AYZ3-HZH4,"ICECUBE DYNAMIC Polarized Sports Sunglasses UV400 Protection with Anti-Slip Function and Lightweight Frame - for Men and Women when Driving, Running, Baseball, Golf, Casual Sports (Crystal Grey/Red)",,35.0000,,,2.7200,,0.15,True,27.0300,27.0300,0.00 %,77.23 %,0,3.2,0,0,0,0,0,,0,74,,,,,1.500,5.701,9.201,0.1323,,,,,
B0C4Q9PWMH,B07CP3HSYD,F5-YYN7-BXR6,"ICECUBE Verano Polarized Sports Sunglasses with Anti-Slip Function and Light Frame - for Men and Women when Driving, Running, Baseball, Golf, Casual Sports and Activities: (Crystal Grey/Blue)",,30.0000,,,3.0000,,0.15,True,22.5000,22.5000,0.00 %,75.00 %,0,3.53,0,0,0,0,0,,0,28,,,,,2.480,2.992,6.929,0.2646,,,,,
B07CNQBT4S,B07CP46YKD,0P-KB7N-PEZ8,"ICECUBE DYNAMIC Polarized Sports Sunglasses UV400 Protection with Anti-Slip Function and Lightweight Frame - for Men and Women when Driving, Running, Baseball, Golf, Casual Sports (Crystal Grey/Grey)",,35.0000,,,3.0000,,0.15,True,26.7500,26.7500,0.00 %,76.43 %,0,3.53,0,0,0,0,0,,0,61,,,,,2.598,2.992,6.850,0.2867,,,,,
B0C5TV9WQV,B07G8SL62W,Avento-Red,"ICECUBE AVENTO Polarized Sports Sunglasses - UV400 & Anti-Slip, Lightweight for Driving, Running & Golf - Unisex (Red/Grey)",,35.0000,,,3.0000,,0.15,True,26.7500,26.7500,0.00 %,76.43 %,0,3.53,0,0,0,0,0,,0,152,,,,,2.520,2.992,7.047,0.2867,,,,,
B0C5TV9WQV,B07G8W7FR8,Avento-White,"ICECUBE AVENTO Polarized Sports Sunglasses - UV400 & Anti-Slip, Lightweight for Driving, Running & Golf - Unisex (White/Grey)",,35.0000,,,3.0000,,0.15,True,26.7500,26.7500,0.00 %,76.43 %,0,3.53,0,0,0,0,0,,0,103,,,,,2.480,2.913,6.890,0.2646,,,,,
B0C5TV9WQV,B07G8WDT6H,Avento-Black,"ICECUBE AVENTO Polarized Sports Sunglasses - UV400 & Anti-Slip, Lightweight for Driving, Running & Golf - Unisex (BLK/Grey)",,35.0000,,,3.0000,,0.15,True,26.7500,26.7500,0.00 %,76.43 %,0,3.53,0,0,0,0,0,,0,399,,,,,2.717,3.031,7.008,0.2426,,,,,
B0C5TV9WQV,B07G8WNCK3,Avento-Blue,"ICECUBE AVENTO Polarized Sports Sunglasses - UV400 & Anti-Slip, Lightweight for Driving, Running & Golf - Unisex (Blue/Grey)",,35.0000,,,3.0000,,0.15,True,26.7500,26.7500,0.00 %,76.43 %,0,3.53,0,0,0,0,0,,0,73,,,,,2.520,3.110,6.811,0.2646,,,,,
B07VMRJS4M,B07VMRH51H,Casuar-Tortoise,"ICECUBE Casuar Polarized Sunglasses UV400 Protection with Anti-Slip Function and Lightweight Frame - for Men and Women when Driving, Running, Baseball, Golf, Casual Sports (Tortoise, Brown)",,20.0000,,,2.6700,,0.15,True,14.3300,14.3300,0.00 %,71.65 %,0,3.14,0,0,0,0,0,,0,4,,,,,2.559,2.913,6.890,0.2646,,,,,
B07VMRJS4M,B07VMRJS4M,OL-OZWZ-TTP7,"ICECUBE Casuar Polarized Sunglasses UV400 Protection with Anti-Slip Function and Lightweight Frame - for Men and Women when Driving, Running, Baseball, Golf, Casual Sports and Activities",,,,,,,,False,,,,,,,0,0,0,0,0,,0,,,,,,7.087,3.150,2.756,125.0000,,,,,
B07VMRJS4M,B07VMRK1FC,Casuar-BLK,"Icecube Casuar Polarized Sunglasses UV400 Protection with Anti-Slip Function and Lightweight Frame - for Men and Women when Driving, Running, Baseball, Golf, Casual Sports and Activities (Black, Grey)",,20.0000,,,2.6700,,0.15,True,14.3300,14.3300,0.00 %,71.65 %,0,3.14,0,0,0,0,0,,0,2,,,,,2.520,2.874,6.811,0.2646,,,,,
B07VQZ3S38,B07VMRK3KV,JETII-BLK-GREY,"ICECUBE JET II NEO PC Polarized Sunglasses - Ultra-Light for Driving, Fishing & Cycling | Adjustable Nose & Temple (Matte Black, Grey)",,35.0000,,,3.0000,,0.15,True,26.7500,26.7500,0.00 %,76.43 %,0,3.53,0,0,0,0,0,,0,202,,,,,2.913,3.622,7.717,0.4851,,,,,
