Date,Currency,Campaign Name,Attribution type,Purchased ASIN,"14 Day Total Sales ",14 Day Total Orders (#),14 Day Total Units (#),14 Day New-to-brand Sales,14 Day New-to-brand Orders (#),14 Day New-to-brand Units (#),14 Day % of Sales New-to-brand,14 Day % of Orders New-to-brand,14 Day % of Units New-to-brand,Cost type,14 Day Total Sales - (Click),14 Day Total Orders (#) - (Click),14 Day Total Units (#) - (Click)
"Feb 1, 2026",GBP,SB_glasses neck strap-glasses neck strap,Promoted,B0FD3PSJG3,£8.32,1,1,£8.32,1,1,100.00%,100.00%,100.00%,CPC,£8.32,1,1
"Feb 1, 2026",GBP,SB_glasses neck strap-glasses neck strap,Promoted,B0FD3PMPVC,£8.32,1,1,£8.32,1,1,100.00%,100.00%,100.00%,CPC,£8.32,1,1
"Feb 1, 2026",GBP,SB_eyeglasses chain-eyeglasses chain,Promoted,B0FD3PMPVC,£8.32,1,1,£8.32,1,1,100.00%,100.00%,100.00%,CPC,£8.32,1,1
"Feb 1, 2026",GBP,SB_BROAD_cycling sunglasses_120425_1,Promoted,B07G8SL62W,£29.17,1,1,£29.17,1,1,100.00%,100.00%,100.00%,CPC,£29.17,1,1
"Feb 1, 2026",GBP,SB_sports band for glasses-sports band for glasses,Promoted,B0FD3MZ97V,£8.32,1,1,£8.32,1,1,100.00%,100.00%,100.00%,CPC,£8.32,1,1
"Feb 2, 2026",GBP,SB_glasses holder strap-glasses holder strap,Promoted,B0FD3PMPVC,£8.32,1,1,£8.32,1,1,100.00%,100.00%,100.00%,CPC,£8.32,1,1
"Feb 2, 2026",GBP,SB_sports band for glasses-sports band for glasses,Promoted,B0FD3PMPVC,£8.32,1,1,£8.32,1,1,100.00%,100.00%,100.00%,CPC,£8.32,1,1
"Feb 2, 2026",GBP,SB_sports band for glasses-sports band for glasses,Promoted,B0FD3PSJG3,£8.32,1,1,£8.32,1,1,100.00%,100.00%,100.00%,CPC,£8.32,1,1
"Feb 2, 2026",GBP,UK STRAP SB_glasses arm covers-glasses arm covers READY (UK SB Banner to Landing Page),Promoted,B0FD3PSJG3,£8.32,1,1,£8.32,1,1,100.00%,100.00%,100.00%,CPC,£8.32,1,1
"Feb 2, 2026",GBP,SB_eye drop glasses-eye drop glasses,Promoted,B0FCRK9JCK,£6.24,1,1,£6.24,1,1,100.00%,100.00%,100.00%,CPC,£6.24,1,1
"Feb 3, 2026",GBP,SB_retainers-retainers,Promoted,B0FCRLQG4B,£6.24,1,1,£6.24,1,1,100.00%,100.00%,100.00%,CPC,£6.24,1,1
"Feb 3, 2026",GBP,SB_adjustable glasses-adjustable glasses,Promoted,B0FD3LHYMN,£8.32,1,1,£8.32,1,1,100.00%,100.00%,100.00%,CPC,£8.32,1,1
"Feb 3, 2026",GBP,SB_BROAD_everyday sunglasses_120425_1,Promoted,B07G8WDT6H,£29.17,1,1,£29.17,1,1,100.00%,100.00%,100.00%,CPC,£29.17,1,1
"Feb 3, 2026",GBP,SB_glasses sports strap-glasses sports strap,Promoted,B0FD3PMPVC,£8.32,1,1,£8.32,1,1,100.00%,100.00%,100.00%,CPC,£8.32,1,1
"Feb 4, 2026",GBP,SB_glasses strap kids-glasses strap kids,Promoted,B0FCRQRHJ8,£6.24,1,1,£6.24,1,1,100.00%,100.00%,100.00%,CPC,£6.24,1,1
"Feb 4, 2026",GBP,SB_sports band for glasses-sports band for glasses,Promoted,B0FD3MZ97V,£8.32,1,1,£8.32,1,1,100.00%,100.00%,100.00%,CPC,£8.32,1,1
"Feb 4, 2026",GBP,SB_retainers-retainers,Promoted,B0FD3LHYMN,£8.32,1,1,£8.32,1,1,100.00%,100.00%,100.00%,CPC,£8.32,1,1
"Feb 4, 2026",GBP,SB_glasses grip-glasses grip,Promoted,B0FD3PSJG3,£8.32,1,1,£8.32,1,1,100.00%,100.00%,100.00%,CPC,£8.32,1,1
"Feb 5, 2026",GBP,SB_BROAD_trendy sunglasses_120425_1,Promoted,B0C42LHKQ8,£29.17,1,1,£29.17,1,1,100.00%,100.00%,100.00%,CPC,£29.17,1,1
"Feb 5, 2026",GBP,SB_BROAD_outdoor activity sunglasses_120425_1,Promoted,B07G8WDT6H,£29.17,1,1,£29.17,1,1,100.00%,100.00%,100.00%,CPC,£29.17,1,1
"Feb 5, 2026",GBP,SB_BROAD_trendy sunglasses_120425_1,Promoted,B07G8WDT6H,£29.17,1,1,£29.17,1,1,100.00%,100.00%,100.00%,CPC,£29.17,1,1
"Feb 5, 2026",GBP,SB_spectacle chains-spectacle chains,Promoted,B0FD3MZ97V,£8.32,1,1,£8.32,1,1,100.00%,100.00%,100.00%,CPC,£8.32,1,1
"Feb 6, 2026",GBP,SB_BROAD_polarized sunglasses_120425_1,Promoted,B0C2P48NCR,£29.17,1,1,£29.17,1,1,100.00%,100.00%,100.00%,CPC,£29.17,1,1
"Feb 6, 2026",GBP,SB_glasses straps-glasses straps,Promoted,B0FCRK9JCK,£6.24,1,1,£6.24,1,1,100.00%,100.00%,100.00%,CPC,£6.24,1,1
"Feb 6, 2026",GBP,UK Strap SB Banner to Store Ad Nov 2025 READY,Promoted,B0FCRCZ1HC,£6.24,1,1,£6.24,1,1,100.00%,100.00%,100.00%,CPC,£6.24,1,1
"Feb 6, 2026",GBP,SB_glasses lanyard-glasses lanyard,Promoted,B0FCRCZ1HC,£6.24,1,1,£6.24,1,1,100.00%,100.00%,100.00%,CPC,£6.24,1,1
"Feb 6, 2026",GBP,UK 80Days Sunglasses B0F1D2NSWN B0F1CZQRYS SB Banner to Landing Page READY,Promoted,B0F1D3JGDH,£16.67,1,1,£16.67,1,1,100.00%,100.00%,100.00%,CPC,£16.67,1,1
"Feb 7, 2026",GBP,SB_glasses holder for women-glasses holder for women,Promoted,B0FCRLQG4B,£6.24,1,1,£6.24,1,1,100.00%,100.00%,100.00%,CPC,£6.24,1,1
"Feb 7, 2026",GBP,UK 80Days Sunglasses B0F1D2NSWN B0F1CZQRYS SB Banner to Landing Page READY,Promoted,B0F1D2QG1X,£16.67,1,1,£16.67,1,1,100.00%,100.00%,100.00%,CPC,£16.67,1,1
"Feb 8, 2026",GBP,SB_BROAD_outdoor activity sunglasses_120425_1,Promoted,B07G8WDT6H,£29.17,1,1,£29.17,1,1,100.00%,100.00%,100.00%,CPC,£29.17,1,1
"Feb 8, 2026",GBP,SB_glasses neck strap-glasses neck strap,Promoted,B0FD3PMPVC,£8.32,1,1,£8.32,1,1,100.00%,100.00%,100.00%,CPC,£8.32,1,1
"Feb 8, 2026",GBP,UK 80Days Sunglasses B0F1D2NSWN B0F1CZQRYS SB Banner to Landing Page READY,Promoted,B0F1D2QG1X,£16.67,1,1,£16.67,1,1,100.00%,100.00%,100.00%,CPC,£16.67,1,1
"Feb 8, 2026",GBP,SB_magnetic glasses holder-magnetic glasses holder,Promoted,B0FD3PMPVC,£8.32,1,1,£8.32,1,1,100.00%,100.00%,100.00%,CPC,£8.32,1,1
"Feb 8, 2026",GBP,SB_glasses lanyard-glasses lanyard,Promoted,B0FD3PMPVC,£8.32,1,1,£8.32,1,1,100.00%,100.00%,100.00%,CPC,£8.32,1,1
"Feb 8, 2026",GBP,UK FLUX Avento Sunglasses SB Banner to Landing Page READY,Promoted,B07G8WDT6H,£58.34,2,2,£29.17,1,1,50.00%,50.00%,50.00%,CPC,£58.34,2,2
"Feb 9, 2026",GBP,SB_glasses hooks for ears-glasses hooks for ears,Promoted,B0FD3LHYMN,£8.32,1,1,£8.32,1,1,100.00%,100.00%,100.00%,CPC,£8.32,1,1
"Feb 9, 2026",GBP,SB_retainers-retainers,Promoted,B0FD3PSJG3,£8.32,1,1,£8.32,1,1,100.00%,100.00%,100.00%,CPC,£8.32,1,1
"Feb 9, 2026",GBP,SB_BROAD_rectangle sunglasses_120425_1,Promoted,B07G8WDT6H,£29.17,1,1,£29.17,1,1,100.00%,100.00%,100.00%,CPC,£29.17,1,1
"Feb 9, 2026",GBP,SB_glasses accessories-glasses accessories,Promoted,B0FD3PMPVC,£8.32,1,1,£8.32,1,1,100.00%,100.00%,100.00%,CPC,£8.32,1,1
