Date,ASIN,Orders,Units,Sales,Profits,ACOS,TACOS,Organic Units,Promotion Units,PPC Orders,PPC Units,PPC Sales,Sessions,Conversions,Average Price,ROI,Margin,Refund Units,Refund Balance,Referral Fees,Fulfillment Fees,Cost of Goods,PPC Cost,Promotion Value,VAT,Recoverable VAT on Fees
07-Mar-26,B06XSB9W9D,1,1,45.00,24.76,,21.20 %,1,0,0,0,0.00,,,45.00,,55.02 %,0,0,6.75,3.95,,9.54,0.00,,
07-Mar-26,B0FCRLQG4B,1,1,7.99,4.36,,,1,0,0,0,0,,,7.99,,54.57 %,0,0,1.20,2.43,,0,0.00,,
07-Mar-26,B0FCRQRHJ8,2,2,15.98,8.17,,3.44 %,2,0,0,0,0.00,,,7.99,,51.13 %,0,0,2.40,4.86,,0.55,0.00,,
07-Mar-26,B0FD3LHYMN,1,1,9.99,6.06,,,1,0,0,0,0,,,9.99,,60.66 %,0,0,1.50,2.43,,0,0.00,,
07-Mar-26,B0FD3PMPVC,2,2,19.98,9.43,33.67 %,13.46 %,1,0,1,1,7.99,,,9.99,,47.20 %,0,0,3.00,4.86,,2.69,0.00,,
07-Mar-26,B0G7TL38TK,1,1,19.99,12.62,,5.30 %,1,1,0,0,0.00,,,19.99,,63.13 %,0,0,2.76,1.95,,1.06,1.60,,
07-Mar-26,B0FD3PSJG3,0,0,0,-8.79,,,0,0,0,0,0,,,,,0.00 %,1,8.79,0,0,,0,0,,
07-Mar-26,B06XS9FDG6,0,0,0,-3.10,,,0,0,0,0,0.00,,,,,0.00 %,0,0,0,0,,3.10,0,,
07-Mar-26,B0G64L8VGX,0,0,0,-1.02,,,0,0,0,0,0.00,,,,,0.00 %,0,0,0,0,,1.02,0,,
07-Mar-26,Sponsored Brands Product Collection/Brand Video,0,0,0,-39.40,,,0,0,2,2,19.98,,,,,0.00 %,0,0,0,0,,39.40,0,,
06-Mar-26,B07QZVZ3HC,1,1,29.99,21.81,,,1,0,0,0,0,,,29.99,,72.72 %,0,0,4.50,3.68,,0,0.00,,
06-Mar-26,B0FD3LHYMN,1,1,9.99,6.06,,,1,0,0,0,0,,,9.99,,60.66 %,0,0,1.50,2.43,,0,0.00,,
06-Mar-26,B0FD3PMPVC,1,1,9.99,6.06,,,1,0,0,0,0,,,9.99,,60.66 %,0,0,1.50,2.43,,0,0.00,,
06-Mar-26,B06XS9FDG6,0,0,0,-11.20,,,0,0,0,0,0.00,,,,,0.00 %,0,0,0,0,,11.20,0,,
06-Mar-26,B06XSB9W9D,0,0,0,-5.69,,,0,0,0,0,0.00,,,,,0.00 %,0,0,0,0,,5.69,0,,
06-Mar-26,Sponsored Brands Product Collection/Brand Video,0,0,0,-21.69,,,0,0,2,2,19.98,,,,,0.00 %,0,0,0,0,,21.69,0,,
05-Mar-26,B0FD3PMPVC,3,3,29.97,17.24,,3.14 %,3,0,0,0,0.00,16,18.75 %,9.99,,57.52 %,0,0,4.50,7.29,,0.94,0.00,,
05-Mar-26,B0FD3PSJG3,1,1,9.99,6.06,,,1,0,0,0,0,6,16.67 %,9.99,,60.66 %,0,0,1.50,2.43,,0,0.00,,
05-Mar-26,B01N3OVRWE,0,0,0,-0.39,,,0,0,0,0,0.00,2,0.00 %,,,0.00 %,0,0,0,0,,0.39,0,,
