Parent ASIN,ASIN,SKU,Title,Short Name,Selling Price,Production Cost,Freight Cost,Fulfillment Fee,Expected Fulfillment Fee,Referral Percent,Active,Payout,Profit,ROI,Margin,Recoverable VAT on Fees,Break Even Price,Stock In Production,Stock Inbound,Inbound to 3PL,Inbound to AWD,3PL to FBA,AWD to FBA,Stock In 3PL,Stock In Inventory,Stock In Transfer,Stock in AWD,Production LeadTime,Freight LeadTime,Package Length (Inch),Package Width (Inch),Package Height (Inch),Package Weight (LB),Carton Length (Inch),Carton Width (Inch),Carton Height (Inch),Carton Weight (LB),Units Per Carton
B07H7L26XD,B01KHB8DKA,PP-5O1O-0WO6,Flux Avento Polarized Sports Sunglasses for Men and Women UV400 Protection Active Lifestyles | Red,,44.5000,,,3.9500,,0.15,True,33.8700,33.8700,0.00 %,76.11 %,0,4.65,0,0,0,0,0,,0,29,,,,,2.441,2.992,6.890,0.2646,,,,,
B07H7L26XD,B01KHB8E4A,CA155-BLUE-GREY,Flux Avento Polarized Sports Sunglasses for Men and Women UV400 Protection Active Lifestyles | Blue,,44.5000,,,3.9500,,0.15,True,33.8700,33.8700,0.00 %,76.11 %,0,4.65,0,0,0,0,0,,0,22,,,,,2.520,3.031,6.890,0.2867,,,,,
B0DCV93QWL,B01M5GA9EW,PT005-CGRED,Flux Dynamic Polarized Sports Sunglasses for Men and Women UV400 Protection Active Lifestyles (Xtal.G/Red),,29.9900,,,3.9500,,0.15,True,21.5400,21.5400,0.00 %,71.82 %,0,4.65,0,0,0,0,0,,0,27,,,,,2.520,3.031,6.890,0.2646,,,,,
B07H7L26XD,B01N3OVRWE,CA155-BLACK-GREY,Flux Avento Polarized Sports Sunglasses for Men and Women UV400 Protection Active Lifestyles | Black,,45.0000,,,3.9100,,0.15,True,34.3400,34.3400,0.00 %,76.31 %,0,4.6,0,0,0,0,0,,0,75,,,,,2.441,2.953,7.008,0.2646,,,,,
B0DCV93QWL,B01N4C0F89,PT005 MAT.BLK GREY,Flux Dynamic Polarized Sports Sunglasses for Men and Women UV400 Protection Active Lifestyles (BLK/Grey),,29.9900,,,3.9500,,0.15,True,21.5400,21.5400,0.00 %,71.82 %,0,4.65,0,0,0,0,0,,0,15,,,,,2.200,3.600,6.800,0.1000,,,,,
B0DCV93QWL,B01NAH9HQX,PT005-CGGRY,Flux Dynamic Polarized Sports Sunglasses for Men and Women UV400 Protection Active Lifestyles (Xtal.G/Grey),,29.9900,,,3.9500,,0.15,True,21.5400,21.5400,0.00 %,71.82 %,0,4.65,0,0,0,0,0,,0,21,,,,,2.440,3.270,7.050,0.2403,,,,,
B0DCNP4LRT,B06XS3D5RG,NI-CFGH-48V7,Flux Sportech Polarized Sports Sunglasses for Men and Women UV400 Protection Active Lifestyles (Gloss Black/Blue),,,,,,,,False,,,,,,,0,0,0,0,0,,0,0,,,,,2.598,2.992,6.890,0.2426,,,,,
B0DCNP4LRT,B06XS9FDG6,CA3644 MAT.BLK GREY,Flux Sportech Polarized Sports Sunglasses for Men and Women UV400 Protection Active Lifestyles (Matte Black/Grey),,45.0000,,,3.9500,,0.15,True,34.3000,34.3000,0.00 %,76.22 %,0,4.65,0,0,0,0,0,,0,19,,,,,2.520,2.953,7.008,0.2646,,,,,
B0DCNP4LRT,B06XSB9W9D,CA3644 S.BLK RED MIRROR,Flux Sportech Polarized Sports Sunglasses for Men and Women UV400 Protection Active Lifestyles (Gloss Black/Red),,45.0000,,,3.9500,,0.15,True,34.3000,34.3000,0.00 %,76.22 %,0,4.65,0,0,0,0,0,,0,17,,,,,2.520,2.953,7.008,0.2646,,,,,
B0DCV93QWL,B071HQ23BK,PT005 MAT.BLK RED MIRROR,Flux Dynamic Polarized Sports Sunglasses for Men and Women UV400 Protection Active Lifestyles (BLK/Red),,29.9900,,,3.9500,,0.15,True,21.5400,21.5400,0.00 %,71.82 %,0,4.65,0,0,0,0,0,,0,15,,,,,2.795,3.307,6.811,0.0992,,,,,
B0744DBYRC,B0744DBYRC,C7-MO7M-03K3,Flux Sportech Polarized Sunglasses for Men and Women Polarized UV Protection for Sports,,,,,,,,False,,,,,,,0,0,0,0,0,,0,0,,,,,0.118,2.717,5.906,0.1499,,,,,
B07H95LFP7,B07B63J66B,RAIN - BLKGRY,Flux Rainier Outdoor Sports Sunglasses for Men Women with PC Polarized Lenses,,45.0000,,,3.9500,,0.15,True,34.3000,34.3000,0.00 %,76.22 %,0,4.65,0,0,0,0,0,,0,23,,,,,2.720,3.390,7.170,0.5094,,,,,
B07H95LFP7,B07B65DLLJ,RAIN - MATGRY,Flux Rainier Outdoor Sports Sunglasses for Men Women with PC Polarized Lenses,,45.0000,,,4.2000,,0.15,True,34.0500,34.0500,0.00 %,75.67 %,0,4.94,0,0,0,0,0,,0,15,,,,,2.720,3.350,7.130,0.5292,,,,,
B07H7L26XD,B07H7L26XD,Avento-US4,Flux Avento Polarized Sports Sunglasses for Men and Women UV400 Protection Active Lifestyles,,,,,,,,False,,,,,,,0,0,0,0,0,,0,,,,,,6.850,2.953,2.520,125.0000,,,,,
B07SX3KLC3,B07K2W5DYG,Verano Mat.BLK GY,Flux Verano Polarized Sports Sunglasses for Men and Women UV400 Protection Active Lifestyles (BLK/Grey),,,,,,,,False,,,,,,,0,0,0,0,0,,0,0,,,,,2.200,3.900,5.900,0.2007,,,,,
B07P5Q29ND,B07P5Q29ND,Flux Soleado,FLUX SOLEADO Injected PC Polarized Outdoor Sports Sunglasses with Non-Slip Grip and TR90 Nylon Frames for Outdoor Active Lifestyles,,,,,,,,False,,,,,,,0,0,0,0,0,,0,0,,,,,2.756,3.386,7.244,0.5292,,,,,
B07SX3KLC3,B07QZVZ3HC,Verano BLK.BLUE,Flux Verano Polarized Sports Sunglasses for Men and Women UV400 Protection Active Lifestyles (BLK/Blue),,29.9900,,,3.6800,,0.15,True,21.8100,21.8100,0.00 %,72.72 %,0,4.33,0,0,0,0,0,,0,23,,,,,0.118,3.504,4.685,0.5490,,,,,
B07SX3KLC3,B07RXWQ425,Verano Xtal.G-Grey,Flux Verano Polarized Sports Sunglasses for Men and Women UV400 Protection Active Lifestyles (Xtal.G/Grey),,29.9900,,,3.9500,,0.15,True,21.5400,21.5400,0.00 %,71.82 %,0,4.65,0,0,0,0,0,,0,9,,,,,2.520,2.950,7.050,0.2911,,,,,
B07H95LFP7,B07T4JJ8RJ,RAIN - BLKPINK RED,"Flux Rainier Outdoor Sports Sunglasses for Men Women with PC Polarized Lenses (BLK PINK, Red)",,45.0000,,,3.9500,,0.15,True,34.3000,34.3000,0.00 %,76.22 %,0,4.65,0,0,0,0,0,,0,23,,,,,2.720,3.350,7.200,0.5094,,,,,
B082HV81CD,B082HVKBZH,Mat.BLK - Grey,ICECUBE Flux Sunglasses for Men and Women: (SPORTECH) Polarized UV Protection for Sports (M.BLK/Grey),,,,,,,,False,,,,,,,0,0,0,0,0,,0,0,,,,,2.500,3.000,6.900,0.2492,,,,,
B0DCNP4LRT,B0DCNP4LRT,Sportech US,Flux Sportech Polarized Sports Sunglasses for Men and Women UV400 Protection Active Lifestyles,,,,,,,,False,,,,,,,0,0,0,0,0,,0,,,,,,,,,,,,,,
B0FH4JNWJZ,B0F1D2NSWN,LD102-BLK,"80Days Women’s Oval Sunglasses – Bold Statement Frames, Vintage Chic, UV400 Protection",,,,,,,,False,,,,,,,0,0,0,0,0,,0,0,,,,,1.457,5.472,6.929,0.1544,,,,,
B0FH4JNWJZ,B0F1D3JGDH,LD102-Pink,"80Days Women’s Oval Sunglasses – Bold Statement Frames, Vintage Chic, UV400 Protection",,29.9900,,,3.7300,,0.15,True,21.7600,21.7600,0.00 %,72.56 %,0,4.39,0,0,0,0,0,,0,0,,,,,1.535,2.953,6.969,0.1544,,,,,
B0FD3PL6F2,B0FCRCZ1HC,Strap-Grey-1P,"80Days Adjustable Eyeglass Strap: Nylon Retainer for Glasses and Sunglasses with Silicone Grips, Secure Fit",,7.9900,,,2.4300,,0.15,True,4.3600,4.3600,0.00 %,54.57 %,0,2.86,0,0,0,0,0,,0,80,2,,,,0.590,3.940,5.980,0.0397,,,,,
B0FD3PL6F2,B0FCRK9JCK,Strap-OG-1P,"80Days Adjustable Eyeglass Strap: Nylon Retainer for Glasses and Sunglasses with Silicone Grips, Secure Fit",,7.9900,,,2.4300,,0.15,True,4.3600,4.3600,0.00 %,54.57 %,0,2.86,0,0,0,0,0,,0,78,3,,,,0.394,4.055,6.102,0.0441,,,,,
B0FD3PL6F2,B0FCRLQG4B,Strap-BLK-1P,"80Days Adjustable Eyeglass Strap: Nylon Retainer for Glasses and Sunglasses with Silicone Grips, Secure Fit",,7.9900,,,2.4300,,0.15,True,4.3600,4.3600,0.00 %,54.57 %,0,2.86,0,0,0,0,0,,0,152,7,,,,0.394,3.937,5.945,0.0221,,,,,
B0FD3PL6F2,B0FCRQRHJ8,Strap-Green-1P,"80Days Adjustable Eyeglass Strap: Nylon Retainer for Glasses and Sunglasses with Silicone Grips, Secure Fit",,7.9900,,,2.4300,,0.15,True,4.3600,4.3600,0.00 %,54.57 %,0,2.86,0,0,0,0,0,,0,39,2,,,,0.430,3.940,5.940,0.0198,,,,,
B0FD3PL6F2,B0FD3LHYMN,Strap-Grey-2Pnew,"80Days Adjustable Eyeglass Strap: Nylon Retainer for Glasses and Sunglasses with Silicone Grips, Secure Fit",,9.9900,,,2.4300,,0.15,True,6.0600,6.0600,0.00 %,60.66 %,0,2.86,0,0,0,0,0,,0,120,6,,,,0.394,3.858,5.945,0.0441,,,,,
B0FD3PL6F2,B0FD3MZ97V,Strap-Green-2Pnew,"80Days Adjustable Eyeglass Strap: Nylon Retainer for Glasses and Sunglasses with Silicone Grips, Secure Fit",,9.9900,,,2.4300,,0.15,True,6.0600,6.0600,0.00 %,60.66 %,0,2.86,0,0,0,0,0,,0,42,6,,,,0.630,3.860,5.940,0.0904,,,,,
B0FD3PL6F2,B0FD3PMPVC,Strap-BLK-2Pnew,"80Days Adjustable Eyeglass Strap: Nylon Retainer for Glasses and Sunglasses with Silicone Grips, Secure Fit",,9.9900,,,2.4300,,0.15,True,6.0600,6.0600,0.00 %,60.66 %,0,2.86,0,0,0,0,0,,0,160,12,,,,0.394,3.976,5.906,0.0441,,,,,
B0FD3PL6F2,B0FD3PSJG3,Strap-OG-2Pnew,"80Days Adjustable Eyeglass Strap: Nylon Retainer for Glasses and Sunglasses with Silicone Grips, Secure Fit",,9.9900,,,2.4300,,0.15,True,6.0600,6.0600,0.00 %,60.66 %,0,2.86,0,0,0,0,0,,0,65,5,,,,0.430,3.940,5.940,0.0397,,,,,
B0G65J2ZG6,B0G64L8VGX,Strap102-BLK/Grey,"80Days Adjustable Eyeglass Strap: Wire Cable Retainer for Glasses and Sunglasses with Silicone Grips, Secure Fit",,7.9900,,,2.4300,,0.15,True,4.3600,4.3600,0.00 %,54.57 %,0,2.86,0,0,0,0,0,,0,43,89,,,,0.315,3.937,5.906,0.0221,,,,,
B0G65J2ZG6,B0G64Q4YRJ,Strap102-RED/BLK,"80Days Adjustable Eyeglass Strap: Wire Cable Retainer for Glasses and Sunglasses with Silicone Grips, Secure Fit",,11.9900,,,3.3200,,0.15,True,6.8700,6.8700,0.00 %,57.30 %,0,3.91,0,0,0,0,0,,0,39,60,,,,0.394,3.898,5.906,0.0221,,,,,
B0G65J2ZG6,B0G64TMSXH,Strap102-OG/BLK,"80Days Adjustable Eyeglass Strap: Wire Cable Retainer for Glasses and Sunglasses with Silicone Grips, Secure Fit",,11.9900,,,3.3200,,0.15,True,6.8700,6.8700,0.00 %,57.30 %,0,3.91,0,0,0,0,0,,0,33,63,,,,0.669,4.213,5.945,0.0221,,,,,
B0G65J2ZG6,B0G653WYKH,Strap102-BLK/BLK,"80Days Adjustable Eyeglass Strap: Wire Cable Retainer for Glasses and Sunglasses with Silicone Grips, Secure Fit",,11.9900,,,3.3200,,0.15,True,6.8700,6.8700,0.00 %,57.30 %,0,3.91,0,0,0,0,0,,0,48,94,,,,0.276,3.937,5.906,0.0221,,,,,
B0G65J2ZG6,B0G65J2ZG6,Strap102-USA,"80Days Adjustable Eyeglass Strap: Wire Cable Retainer for Glasses and Sunglasses with Silicone Grips, Secure Fit",,,,,,,,False,,,,,,,0,0,0,0,0,,0,,,,,,,,,,,,,,
B0G7V2LTK4,B0G7TL38TK,Sportech-M.BLK-GREY,Flux Sportech Polarized Sports Sunglasses with Anti-Slip Function and Light Frame for Men and Women,,19.9900,,,1.9500,,0.15,True,15.0400,15.0400,0.00 %,75.24 %,0,2.29,0,0,0,0,0,,0,42,,,,,2.480,2.990,6.930,0.2403,,,,,
B0G7YR9XWB,B0G7YP8SWQ,Soleado-M.BLK-GREY,"Flux Soleado Polarized Sunglasses for Men, Durable TR90 Frame, Secure Non-Slip Fit",,29.9900,,,3.9500,,0.15,True,21.5400,21.5400,0.00 %,71.82 %,0,4.65,0,0,0,0,0,,0,10,,,,,6.800,3.000,2.600,0.2800,,,,,
B0G7YR9XWB,B0G7YR9XWB,Soleado-USY26,"Flux Soleado Polarized Sunglasses for Men, Durable TR90 Frame, Secure Non-Slip Fit",,,,,,,,False,,,,,,,0,0,0,0,0,,0,,,,,,,,,,,,,,
