Date,ASIN,Orders,Units,Sales,Profits,ACOS,TACOS,Organic Units,Promotion Units,PPC Orders,PPC Units,PPC Sales,Sessions,Conversions,Average Price,ROI,Margin,Refund Units,Refund Balance,Referral Fees,Fulfillment Fees,Cost of Goods,PPC Cost,Promotion Value,VAT,Recoverable VAT on Fees
07-Mar-26,B09SG8P2RN,1,1,169.90,128.96,,2.26 %,1,0,0,0,0.00,,,169.90,,75.90 %,0,0,13.59,23.51,,3.84,0.00,,
07-Mar-26,B0B3XFZN7C,2,2,49.90,32.26,,0.42 %,2,1,0,0,0.00,,,24.95,,64.65 %,0,0,4.09,10.84,,0.21,2.50,,
07-Mar-26,B0DGFS7QTL,3,3,479.70,276.06,62.10 %,20.70 %,2,0,1,1,159.90,,,159.90,,57.55 %,0,0,38.37,65.97,,99.30,0.00,,
07-Mar-26,B0DGFW4N61,1,1,149.90,105.24,2.27 %,4.08 %,0,0,2,2,269.80,,,149.90,,70.21 %,0,0,11.99,26.55,,6.12,0.00,,
07-Mar-26,B0DGFX3T34,3,3,449.70,331.38,,0.60 %,3,0,0,0,0.00,,,149.90,,73.69 %,0,0,35.97,79.65,,2.70,0.00,,
07-Mar-26,B0DGGVRBX2,1,1,49.90,35.09,,1.04 %,1,1,0,0,0.00,,,49.90,,70.32 %,0,0,3.59,5.71,,0.52,4.99,,
07-Mar-26,B0DGP17VXV,1,1,0.00,-7.11,,,1,0,0,0,0.00,,,,,0.00 %,0,0,0.30,5.71,,1.10,0.00,,
07-Mar-26,B0DHXCYKR6,2,2,219.80,176.47,,0.55 %,2,0,0,0,0.00,,,109.90,,80.29 %,0,0,17.58,24.54,,1.21,0.00,,
07-Mar-26,B0DF7RVRW2,0,0,0,-108.74,,,0,0,0,0,0.00,,,,,0.00 %,1,106.61,0,0,,2.13,0,,
07-Mar-26,B09SG823XL,0,0,0,-0.42,,,0,0,0,0,0.00,,,,,0.00 %,0,0,0,0,,0.42,0,,
07-Mar-26,B09SG8GKCF,0,0,0,-5.73,,,0,0,0,0,0.00,,,,,0.00 %,0,0,0,0,,5.73,0,,
07-Mar-26,B0CFFCXLCF,0,0,0,-4.92,,,0,0,0,0,0.00,,,,,0.00 %,0,0,0,0,,4.92,0,,
07-Mar-26,B0CFFDHPKN,0,0,0,-7.72,,,0,0,0,0,0.00,,,,,0.00 %,0,0,0,0,,7.72,0,,
07-Mar-26,B0CHR85N54,0,0,0,-1.75,,,0,0,0,0,0.00,,,,,0.00 %,0,0,0,0,,1.75,0,,
07-Mar-26,B0DF7R9WJN,0,0,0,-0.69,,,0,0,0,0,0.00,,,,,0.00 %,0,0,0,0,,0.69,0,,
07-Mar-26,B0DF7RPQLC,0,0,0,-1.98,,,0,0,0,0,0.00,,,,,0.00 %,0,0,0,0,,1.98,0,,
07-Mar-26,B0DF7S4HT1,0,0,0,-1.97,,,0,0,0,0,0.00,,,,,0.00 %,0,0,0,0,,1.97,0,,
07-Mar-26,B0DF7SBFMV,0,0,0,-1.93,,,0,0,0,0,0.00,,,,,0.00 %,0,0,0,0,,1.93,0,,
07-Mar-26,B0DF7TJDRW,0,0,0,-5.47,,,0,0,0,0,0.00,,,,,0.00 %,0,0,0,0,,5.47,0,,
07-Mar-26,B0DGFW5G2G,0,0,0,-3.43,,,0,0,0,0,0.00,,,,,0.00 %,0,0,0,0,,3.43,0,,
07-Mar-26,B0DGGW9Z3T,0,0,0,-0.22,,,0,0,0,0,0.00,,,,,0.00 %,0,0,0,0,,0.22,0,,
07-Mar-26,B0DGGXJBKN,0,0,0,-0.22,,,0,0,0,0,0.00,,,,,0.00 %,0,0,0,0,,0.22,0,,
07-Mar-26,B0DGLWZW1M,0,0,0,-1.75,,,0,0,0,0,0.00,,,,,0.00 %,0,0,0,0,,1.75,0,,
07-Mar-26,B0DGLXHM2Q,0,0,0,-3.08,,,0,0,0,0,0.00,,,,,0.00 %,0,0,0,0,,3.08,0,,
