Parent ASIN,ASIN,SKU,Title,Short Name,Selling Price,Production Cost,Freight Cost,Fulfillment Fee,Expected Fulfillment Fee,Referral Percent,Active,Payout,Profit,ROI,Margin,Recoverable VAT on Fees,Break Even Price,Stock In Production,Stock Inbound,Inbound to 3PL,Inbound to AWD,3PL to FBA,AWD to FBA,Stock In 3PL,Stock In Inventory,Stock In Transfer,Stock in AWD,Production LeadTime,Freight LeadTime,Package Length (Inch),Package Width (Inch),Package Height (Inch),Package Weight (LB),Carton Length (Inch),Carton Width (Inch),Carton Height (Inch),Carton Weight (LB),Units Per Carton
B09X697T7N,B09SG794JL,GEO-M6-DALI,"Geometric Future M6 Dali Mid Tower 12"" x11”MB/ATX Gaming Case, 4mm Glass/0.8 mm Steel with Vertical Air Duct Design, Support 360 Radiator, Vertical GPU Mount, GEO-M6-DALI (PC Case ONLY)",,,,,,,,False,,,,,,,0,0,0,0,0,,0,0,,,,,11.496,22.441,22.835,32.5899,,,,,
B09X697T7N,B09SG823XL,GEO-M6-CEW,"Geometric Future M6 Cezanne White Mid Tower 12"" x11”MB/ATX Gaming Case, 4mm Glass/0.8 mm Steel with Vertical Air Duct Design, Support 360 Radiator, Vertical GPU Mount, GEO-M6-CEW (PC Case ONLY)",,99.9000,,,23.5100,,0.08,True,68.4000,68.4000,0.00 %,68.47 %,0,25.55,0,0,0,0,0,,0,,,,,,11.496,22.441,22.835,32.5899,,,,,
B09X1KD6NH,B09SG8GKCF,GEO-M8-COW,"Geometric Future M8 Cowboy Mid Tower E-ATX/ATX Gaming Case, Aluminum/Cowhide/Glass/1.0mm Steel, Vertical Air Tunnel Design, Support Type C, 420/360 Radiator, Vertical GPU Mount, GEO-M8-COW(Case ONLY)…",,179.9000,,,23.5100,,0.08,True,142.0000,142.0000,0.00 %,78.93 %,0,25.55,0,0,0,0,0,,0,14,,,,,11.496,22.441,22.835,32.5899,,,,,
B09X1KD6NH,B09SG8MPQT,GEO-M8-LOW,"Geometric Future M8 Lohan White Mid Tower E-ATX/ATX Gaming Case, 4mm Glass/ 1.0 mm Steel with Vertical Air Tunnel Design, Support 420/360 Radiator, Vertical GPU Mount, GEO-M8-LOW (PC Case ONLY)",,,,,,,,False,,,,,,,0,0,0,0,0,,0,0,,,,,11.500,22.250,22.500,32.6561,,,,,
B09X1KD6NH,B09SG8P2RN,GEO-M8-DHA,"Geometric Future M8 Dharma Mid Tower E-ATX/ATX Gaming Case, Aluminum/Glass/1.0 mm Steel, Vertical Air Tunnel Design, Support Type C, 420/360 Radiator, Vertical GPU Mount, GEO-M8-DHA (PC Case ONLY)",,169.9000,,,23.5100,,0.08,True,132.8000,132.8000,0.00 %,78.16 %,0,25.55,0,0,0,0,0,,0,0,,,,,11.496,22.441,22.835,32.5899,,,,,
B09X1KD6NH,B09SG8QRYZ,GEO-M8-CEL,"Geometric Future M8 Celluloid Mid Tower E-ATX/ATX Gaming Case, 4mm Glass/1.0 mm Steel, Vertical Air Tunnel Design, Support Type C, 420/360 Radiator, Vertical GPU Mount, GEO-M8-CEL (PC Case ONLY)",,,,,,,,False,,,,,,,0,0,0,0,0,,0,0,,,,,11.496,22.441,22.835,32.5899,,,,,
B09X697T7N,B09SG8WXK5,GEO-M6-RA,"Geometric Future M6 Raphael Mid Tower 12"" x11”MB/ATX Gaming Case, 4mm Glass/0.8 mm Steel with Vertical Air Duct Design, Support 360 Radiator, Vertical GPU Mount, GEO-M6-RA(PC Case ONLY)",,,,,,,,False,,,,,,,0,0,0,0,0,,0,,,,,,11.890,20.394,22.756,24.0345,,,,,
B09X1KD6NH,B09SG9664K,GEO-M8-LOB,"Geometric Future M8 Lohan Black Mid Tower E-ATX/ATX Gaming Case, 4mm Glass/ 1.0 mm Steel, Vertical Air Tunnel Design, Support, 420/360 Radiator, Vertical GPU Mount, GEO-M8-LOB (PC Case ONLY)",,,,,,,,False,,,,,,,0,0,0,0,0,,0,0,,,,,11.496,22.441,22.835,32.5899,,,,,
B09X697T7N,B09SG9LJ81,GEO-M6-CEB,"Geometric Future M6 Cezanne Black Mid Tower 12"" x11”MB/ATX Gaming Case, 4mm Glass/0.8 mm Steel with Vertical Air Duct Design, Support 360 Radiator, Vertical GPU Mount, GEO-M6-CEB (PC Case ONLY)",,,,,,,,False,,,,,,,0,0,0,0,0,,0,,,,,,11.496,22.441,22.835,32.5899,,,,,
B0DKWFDQ7T,B09V441GBZ,GEO-EJ-36B,"Geometric Future Eskimo Junior - 360mm AIO CPU Liquid Cooler- Three RGB Squama 2503B Fan- LGA 1700, 1200, 115X, 2066, AM5, AM4 - Black- GEO-EJ-36B",,,,,,,,False,,,,,,,0,0,0,0,0,,0,0,,,,,5.591,9.764,18.543,5.2479,,,,,
B0B755PYH4,B0B3XDBL8W,GEO-S2505B-3,Geometric Future Squama 2505 RGB PWM Fan - Black - 120mm - 3 Pack - High Performance - 5V 3pin Addressable RGB - 4pin PWM - with Controller - (GEO-S2505B-3),,,,,,,,False,,,,,,,0,0,0,0,0,,0,,,,,,3.346,5.197,7.795,1.2569,,,,,
B0DJ2X2SK8,B0B3XDL218,GEO-S2503W-3,Squama 2503 RGB PWM Fan - 120mm - 3 Pack – Performance & Silent Balance - Dual Lighting Loop - Motherboard SYNC with 5V 3pin - 4pin PWM - White (GEO-S2503W-3),,49.9000,,,5.4200,,0.08,True,40.4900,40.4900,0.00 %,81.14 %,0,5.89,0,0,0,0,0,,0,9,,,,,3.307,5.157,7.677,1.4333,,,,,
B0B755PYH4,B0B3XF1JPN,GEO-S2505W-3,Geometric Future Squama 2505 RGB PWM Fan - White - 120mm - 3 Pack - High Performance - 5V 3pin Addressable RGB - 4pin PWM - with Controller - (GEO-S2505W-3),,,,,,,,False,,,,,,,0,0,0,0,0,,0,,,,,,3.346,5.157,7.756,1.3451,,,,,
