Date,Currency,Campaign Name,Attribution type,Purchased ASIN,"14 Day Total Sales ",14 Day Total Orders (#),14 Day Total Units (#),14 Day New-to-brand Sales,14 Day New-to-brand Orders (#),14 Day New-to-brand Units (#),14 Day % of Sales New-to-brand,14 Day % of Orders New-to-brand,14 Day % of Units New-to-brand,Cost type,14 Day Total Sales - (Click),14 Day Total Orders (#) - (Click),14 Day Total Units (#) - (Click)
"Feb 2, 2026",USD,SB_modular pc case_$0.19_1227_115926,Brand Halo,B0DGP1TPR5,$14.9,1,1,$0.0,0,0,0.00%,0.00%,0.00%,CPC,$14.9,1,1
"Feb 2, 2026",USD,SB_premium pc case_$0.19_1227_115926,Promoted,B0DF7S4HT1,$119.9,1,1,$119.9,1,1,100.00%,100.00%,100.00%,CPC,$119.9,1,1
"Feb 3, 2026",USD,SB_BROAD_YELLOW PC CASE_MULTIKEYWORDS,Promoted,B0DGFS7QTL,$159.9,1,1,$0.0,0,0,0.00%,0.00%,0.00%,CPC,$159.9,1,1
"Feb 3, 2026",USD,SB_pc case_ASIN3_$0.19_1227_115926,Brand Halo,B0DHXCYKR6,$109.9,1,1,$109.9,1,1,100.00%,100.00%,100.00%,CPC,$109.9,1,1
"Feb 3, 2026",USD,SB_pc case_ASIN3_$0.19_1227_115926,Promoted,B0DGLYNG22,$149.9,1,1,$149.9,1,1,100.00%,100.00%,100.00%,CPC,$149.9,1,1
"Feb 5, 2026",USD,SB_BROAD_YELLOW PC CASE_MULTIKEYWORDS,Brand Halo,B0G1MF7Q2S,$159.9,1,1,$159.9,1,1,100.00%,100.00%,100.00%,CPC,$159.9,1,1
"Feb 5, 2026",USD,SB_M5 PC Case_pc case with top psu_21_ERIC,Promoted,B0DF7S4HT1,$119.9,1,1,$119.9,1,1,100.00%,100.00%,100.00%,CPC,$119.9,1,1
"Feb 7, 2026",USD,SB_aio cooler am5_$0.19_01021015,Promoted,B0DHXCYKR6,$109.9,1,1,$109.9,1,1,100.00%,100.00%,100.00%,CPC,$109.9,1,1
"Feb 9, 2026",USD,SB_M5 PC Case_cooling focused pc case_21_ERIC,Promoted,B0DGFS7QTL,$159.9,1,1,$159.9,1,1,100.00%,100.00%,100.00%,CPC,$159.9,1,1
"Feb 9, 2026",USD,SB_M5 PC Case_pc case for high performance gaming_21_ERIC,Promoted,B0DGFS7QTL,$159.9,1,1,$159.9,1,1,100.00%,100.00%,100.00%,CPC,$159.9,1,1
