Date,ASIN,Orders,Units,Sales,Profits,ACOS,TACOS,Organic Units,Promotion Units,PPC Orders,PPC Units,PPC Sales,Sessions,Conversions,Average Price,ROI,Margin,Refund Units,Refund Balance,Referral Fees,Fulfillment Fees,Cost of Goods,PPC Cost,Promotion Value,VAT,Recoverable VAT on Fees
07-Mar-26,B09Y8VBQTV,7,10,233.90,80.84,316.25 %,31.62 %,9,1,1,1,23.39,,,23.39,,34.56 %,0,0,34.75,42.00,,73.97,2.34,,
07-Mar-26,B0DTTHJCRL,1,2,53.98,38.42,,,2,0,0,0,0,,,26.99,,71.17 %,0,0,8.10,7.46,,0,0.00,,
07-Mar-26,B0DTYCNVQV,8,8,223.92,128.30,114.97 %,14.37 %,7,0,1,1,27.99,,,27.99,,57.30 %,0,0,33.60,29.84,,32.18,0.00,,
07-Mar-26,B0DTYLYN6B,4,4,212.76,155.42,,4.03 %,4,0,0,0,0.00,,,53.19,,73.05 %,0,0,31.92,16.84,,8.58,0.00,,
07-Mar-26,B0DV3VX26C,2,2,54.98,23.13,58.75 %,29.37 %,1,0,1,1,27.49,,,27.49,,42.07 %,0,0,8.24,7.46,,16.15,0.00,,
07-Mar-26,B0FH6BX4GQ,1,2,47.98,5.97,,57.00 %,2,0,0,0,0.00,,,23.99,,12.44 %,0,0,7.20,7.46,,27.35,0.00,,
07-Mar-26,B0G7K1VC4G,1,3,95.97,64.75,,5.18 %,3,0,0,0,0.00,,,31.99,,67.47 %,0,0,14.40,11.85,,4.97,0.00,,
07-Mar-26,B0G7K4CHWG,6,6,101.94,-66.59,253.89 %,126.95 %,3,1,3,3,50.97,,,16.99,,-65.32 %,0,0,15.04,22.38,,129.41,1.70,,
07-Mar-26,B0DTTVGD2F,0,0,0,-4.95,,,0,0,0,0,0.00,,,,,0.00 %,0,0,0,0,,4.95,0,,
07-Mar-26,B0DV3SJ8LK,0,0,0,-2.24,,,0,0,0,0,0.00,,,,,0.00 %,0,0,0,0,,2.24,0,,
07-Mar-26,Sponsored Brands Product Collection/Brand Video,0,0,0,-83.29,,,0,0,5,5,190.35,,,,,0.00 %,0,0,0,0,,83.29,0,,
06-Mar-26,B09Y8VBQTV,5,5,116.95,-49.13,268.36 %,107.35 %,3,1,2,2,46.78,,,23.39,,-42.01 %,0,0,17.20,21.00,,125.54,2.34,,
06-Mar-26,B0DTTT9WTN,1,1,19.49,12.62,,,1,0,0,0,0,,,19.49,,64.75 %,0,0,2.92,3.95,,0,0.00,,
06-Mar-26,B0DTYCNVQV,11,12,334.48,191.14,190.10 %,11.08 %,11,3,1,1,19.49,,,27.873333333333333333333333333,,57.15 %,0,0,48.93,44.76,,37.05,12.60,,
06-Mar-26,B0DTYLYN6B,5,5,265.95,160.39,32.88 %,6.58 %,4,2,1,1,53.19,,,53.19,,60.31 %,0,0,35.10,21.05,,17.49,31.92,,
06-Mar-26,B0DV3VX26C,1,1,27.49,-27.61,,171.88 %,1,0,0,0,0.00,,,27.49,,-100.44 %,0,0,4.12,3.73,,47.25,0.00,,
06-Mar-26,B0G7K1VC4G,2,2,63.98,40.61,,9.17 %,2,0,0,0,0.00,,,31.99,,63.47 %,0,0,9.60,7.90,,5.87,0.00,,
06-Mar-26,B0G7K4CHWG,1,1,16.99,-260.36,527.50 %,"1,520.72 %",0,0,2,2,48.98,,,16.99,,"-1,532.43 %",1,12.70,2.55,3.73,,258.37,0.00,,
06-Mar-26,B0DTTHJCRL,0,0,0,-0.82,,,0,0,0,0,0.00,,,,,0.00 %,0,0,0,0,,0.82,0,,
06-Mar-26,B0DTTVGD2F,0,0,0,-4.46,,,0,0,0,0,0.00,,,,,0.00 %,0,0,0,0,,4.46,0,,
06-Mar-26,B0DV3SJ8LK,0,0,0,-6.72,,,0,0,0,0,0.00,,,,,0.00 %,0,0,0,0,,6.72,0,,
